español,tailandés,Add Reverse
(zodiaco) Acuario,ราศีกุมภ์,y
(zodiaco) Aries,ราศีเมษ,y
(zodiaco) Capricornio,ราศีมังกร,y
(zodiaco) Escorpio,ราศีพิจิก,y
(zodiaco) Leo,ราศีสิงห์,y
(zodiaco) Libra,ราศีตุลย์,y
(zodiaco) Piscis,ราศีมีน,y
(zodiaco) Sagitario,ราศีธนู,y
(zodiaco) Virgo,ราศีกันย์,y
(f.) el agua freática,น้ำบาดาลไม่มีแรงดัน,y
(f.) el alga,สาหร่าย,y
(f.) el ancla,สมอเรือ,y
(f.) el asma,โรคหืด,y
(f.) el asta,เสาธง,y
(f.) el hacha,ขวาน,y
(f.) el águila,นกอินทรี,y
(zodiaco) Cáncer,ราศีกรกฎ,y
(zodiaco) Géminis,ราศีเมถุน,y
(zodiaco) Tauro,ราศีพฤษภ,y
América Central,ทวีปอเมริกากลาง,y
América del Norte,ทวีปอเมริกาเหนือ,Y
América del Sur,ทวีปอเมริกาใต้,y
Checoslovaquia,ประเทศเชโกสโลวาเกีย,y
Escocia,สกอตแลนด์,y
Groenlandia,กรีนแลนด์,y
Oceanía,โอเชียเนีย,y
a condición de que,โดยมีข้อแม้คือ…,y
a cuadros,ที่เป็นลายตารางหมากรุก,y
a hurtadillas,อย่างแอบ ๆ อย่างเงียบ ๆ ไม่ให้ใครรู้,y
a la intemperie,กลางแจ้ง เปิดออก เปิดอก หมดไส้หมดพุง,
a largo plazo,ในระยะยาว,y
a más tardar,อย่างช้าสุด,y
a no ser que,เว้นแต่ว่า (en: unless),y
a pachas,ทีละครึ่ง,
a vuelapluma,อย่างรวดเร็วแบบไม่คิดอะไร ทำไปลวก ๆ,
abalanzar,ขว้าง โยน,
abastecer,จัดหาให้ อุปทาน (a),y
abatir,ยิงฆ่า วิสามัญฆาตกรรม,y
abocarse,มุ่งหน้า ตั้งเป้า,y
abofetear,ตบด้วยฝ่ามือ,y
abollarse,ยุบ หุบเข้าไป,y
abrochar,รัด (เข็มขัด) ติด (กระดุม),y
abrumador,ที่ท่วมท้น (!ap),y
abstenerse de ~,ละเว้น หลีกเลี่ยง (a),y
abuchear,ส่งเสียงโห่,y
acampar,เข้าแคมป์,y
acechar,ติดตามแบบลับ ๆ,y
acertar,ทายถูก ตรงเป้า,y
aciago,อัปมงคล อัปโชค ที่ไม่ดี,y
acicalar,ทำความสะอาด ไซร้เห็บเหา,y
acoger,ยอมรับ ให้การยอมรับ รองรับการลี้ภัย,y
acojonar,ทำให้กลัว,
acongojado,เครียด กดดัน กลัว,
acoplarse,อยู่ด้วยกัน ปรับตัวเข้าด้วยกัน,
acordonar,ปิดล้อม,y
acotar,กั้นรั้ว ล้อมกรอบ,<div>y</div>
acuciante,ที่เร่งด่วน ที่จำเป็น,
acudir,มา เข้าร่วม ไปยัง,
acusar,ฟ้อง (!d),y
adelantar,(ขับรถ)แซง,y
adelantar por la izquierda,แซงซ้าย,y
adelgazar,ทำให้ผอม,y
adhesivo,ที่ติดแน่น ที่เหนียวติด,y
aditivo,ที่เพิ่มเข้ามา,y
adobar,หมักซอส,y
adoctrinar,ล้างสมอง ทำให้หลงเชื่อ,y
adosar,วางข้าง ๆ กัน วางติดกัน,y
adscribir,มอบหมาย,
adueñarse de,ฉกฉวย ครอบงำ,y
advertir,เตือน,
afable,สุภาพ เรียบร้อย,y
afeitarse,โกนหนวด,y
aferrarse,ยึดมั่นถือมั่น จับแน่น,y
afrontar,เผชิญหน้า,y
agacharse,ก้มลง,y
agarrar,ดึง จับ (a),y
agitar,เขย่า,y
aglutinar,เอามาเชื่อมกัน ทำให้เกาะกลุ่มกัน ทำให้รวมกัน (a),y
agotar,ทำให้เหนื่อย ทำให้หมดแรง (!r),y
agrandar,ทำให้ใหญ่ขึ้น,y
agredir,โจมตี ทำร้าย เหยียดหยาม,y
agrietar,ทำให้แตกออก ปริออก,y
aguantarse,ทน,
agudizar la crisis,ทำวิกฤตให้วิกฤตยิ่งขึ้น,y
agudo,คม ที่มีเสียงสูง,y
ahogarse,สำลัก,y
ahorcar,แขวน ห้อย โหน,y
aislante,ที่เป็นฉนวน,y
ajardinar,ทำให้เป็นพื้นที่สีเขียว ทำให้เป็นสวน,y
ajeno,ที่เกี่ยวกับของคนอื่น ที่ไม่เกี่ยวข้อง,y
ajo y agua,ช่างมันและทนมันไป,y
alardear,โอ้อวด (!p),y
alargar,ทำให้ยาวขึ้น (กริยาของ largo),y
alcanzar,ถึง ทำได้ ทัน,
aliviar,บรรเทา (อาการ),y
almacenar,เก็บ บรรจุ (en: store),y
alquilar,ให้เช่า,y
alucinar,เกิดภาพหลอน ประสาทหลุด,y
aludir,พาดพิง อ้างถึง,y
alzar,ยกชูขึ้น,
amamantar,ให้นมบุตร,y
amenazar,ขู่,y
anestesiar,ให้ยาชา,y
aniquilar,ทำให้หมดสิ้น ทำลายล้าง,y
anochecer,กลายเป็นกลางคืน มืดลง พระอาทิตย์ตกดิน,y
ansioso,ที่วิตกกังวล (en: anxious),y
antecedente,ก่อนหน้า,
anticuado,เชย ล้าสมัย,y
antracita,สีเทาเข้ม,y
antropomórfico,ที่เกี่ยวกับรูปร่างคน,y
anómalo,ไม่ธรรมดา ไม่ปกติ,
aparentar,ดูเหมือน ทำเป็น เสแสร้ง,
apartar,ขยับ (สกรรม),y
apañar,ซ่อม แก้ไข (a),y
apelar,ยื่นอุธรณ์,y
apelotonarse,กระจุกกัน รวมตัวกัน,y
apestar,ส่งกลิ่นเหม็น,y
aplastante,อย่างท่วมท้น มากมาย (en: overwhelming) (!ab),y
aplastar,เหยียบ ทับ ทำให้แหลก,y
aplazar,เลื่อนออกไป,y
aportar,ให้ ช่วยเหลือ เป็นส่วนร่วม (en: contribute) (!c),y
apostar,พนัน ท้า,y
apremiar,เร่ง กดดัน (!~s~),y
apresurar,เร่ง ทำให้รีบ (!~m~),y
apurarse,รีบ ๆ,
apuñalar,แทง (ด้วยของมีคม),y
arar,ไถ ไถหน้าดิน,y
arar en el mar,ตำน้ำพริกละลายแม่น้ำ (สำนวน),y
arder,เผาไหม้ ร้อนแรง,y
armar,ประกอบ,y
arquear,ทำให้โค้ง ทำให้งอ,y
arrancarse,ดึงอย่างแรง,y
arrastrar,ลาก,y
arrastrarse,คลาน คุกเข่า,y
arrebatar,คว้า กระชาก,y
arreciar,ทำให้รุนแรงขึ้น ทำให้หนักขึ้น,
arrepentirse,รู้สึกผิด เสียใจ (!l),y
arrodillarse,คุกเข่า,y
arrojar,ขว้าง ทิ้ง โยน (!t),y
articular,ที่ชัดเจน ที่เชื่อมต่อ ที่เกี่ยวกับข้อต่อ,y
aseado,รักสะอาด รักความเป็นระเบียบ,y
asear,ทำความสะอาด (จัดระเบียบ),y
asentir,พยักหน้า ตกลง ยอมรับ,y
asesorar,ให้คำปรึกษา ให้คำแนะนำ,y
asfaltar,ราดยางมะตอย,y
asimilarse,คล้าย (กริยา) (a),y
asolar,ทำลาย,
asomar,โผล่ออกมา,y
asombrar,ทำให้ทึ่ง (a),y
asqueroso,น่ารังเกียจ,
ateo,ซึ่งไม่เชื่อในพระเจ้า,y
aterrizar,(เครื่องบิน)แลนด์,y
atizar,แหย่ เป็นชนวน,y
atormentar,ทรมาน ทำให้ทรมาน,y
atravesar,ข้าม (a),y
atrayente,น่าดึงดูด ที่ดึงดูด ที่มีเสน่ห์,y
atreverse,กล้า (กริยา),y
atrincherarse,การเก็บตัว ยึดที่เกิดเหตุ (立て籠り),y
atropellar,ทับ ชนให้ล้ม,y
aturdir,ทำให้งงงวย ทำให้ช็อก,y
atípico,ผิดแบบ ผิดพวก,
audaz,กล้าหาญ,
averiado,พัง ชำรุด (a),y
averiguar,ค้นพบ หาเจอ,y
azotar,ฟาด หวด แส้ฟาด,y
añorar,โหยหา กองหา,y
babear,ทำน้ำลายไหล,y
balbucear,พูดตะกุกตะกัก (!v!t),y
banal,ที่น่าเบื่อ,y
barrer,กวาด,y
basto,ที่หยาบ (ผิวสัมผัส),y
beige,สีเบจ,y
bestial,อย่างเดรัจฉาน หยาบคาย,y
bifurcarse,แตกออก แยกออกไป แตกกิ่งก้านสาขาออกไป,y
biruji,อากาศหนาว เย็น (caló),y
blanquear,ฟอกขาว ฟอกเงิน,y
bostezar,หาว,y
bovino,(คุณศัพท์) เกี่ยวกับวัว,y
brincar,กระโดดโลดเต้น,
brusco,ผลุนผลัน หุนหัน หยาบ ห้วน ทันที,y
burlarse de,ล้อเลียน,y
buscarle los tres pies al gato,ยืนยันความถูกต้อง หาหลักฐาน หาคำอธิบาย หาความชอบธรรม (สำนวน),y
bélico,ที่เกี่ยวกับสงคราม (!g),y
cabalgar,ขี่,y
caducarse,(กริยา)หมดอายุ,y
caer bien,เข้ากันดีกับ(คน),y
caer mal,ไม่เข้ากันกับ(คน),y
caer una jarreada,ฝนตกหนักมาก (ฟ้ารั่ว),y
caerse la venda de los ojos (a alguien),ความจริงเป็นที่ประจักษ์ (แก่ ~),y
cagarse las patas abajo,(สำนวน) กลัวมาก กลัวจัด,y
caldear,ทำให้อุ่นขึ้น,y
calido,อุ่น,y
calvo,หัวล้าน,y
calzar,หุ้ม ห่อ ใส่การป้องกัน ใส่ถุงมือ,y
camelar,หว่านล้อม สุ่ย จีบ ทำปากหวาน (caló),y
camuflarse,พรางตัว,y
canino,ที่เกี่ยวกับสุนัข,y
canoso,ที่มีผมสีเทา,y
canturrear,ฮัมเพลง (แหกปาก)ร้องเพลงอยู่คนเดียว,y
caprino,เกี่ยวกับแพะ,y
cardíaco,ที่เกี่ยวกับหัวใจ,y
carecer,ขาด ไม่มี,
carecer de,ขาดแคลน,
carente de ~,การขาด~ (~不足) (adj.),y
carraspear,กระแอม,y
casero,ที่เกี่ยวกับบ้าน โฮมเมด,y
casposo,เต็มไปด้วยรังแค,y
castaño,(ผม)สีน้ำตาล,y
castigar,ลงโทษ (คำกริยา),y
castrar,ทำหมัน (ตัด),y
catear,(ภาษาพูด) ทำให้สอบตก ไม่ผ่าน ทำให้ล้ม,y
ceder,เสียสละ ยอม (c),y
ceder el paso,ให้ทาง,y
celoso,อิจฉา หึง,y
centrifugar,ปั่นแห้ง,y
cervical,เกี่ยวกับคอ,y
cesar,หยุด สิ้นสุด,
chachi,เจ๋ง เก๋ (caló),y
chafar,ทำให้แบน ทำให้เสียอารมณ์ ทำให้หมดอารมณ์,y
chalado,บ้า (caló),
charlatán,ที่พูดมาก,y
chascar la lengua,กระเดาะปาก,y
chillar,กรีดร้อง (ch),y
chispear,ฟ้าแลบ (คำกริยา),y
chivarse,col. ฟ้อง,y
chungo,(ภาษาพูด) ยาก อันตราย เสี่ยง (caló),y
cimbrearse,ตัวสั่น (!t!v),y
clandestino,ที่เป็นความลับ (c),y
clavar,ตอกตะปู ปักหมุด,y
cobarde,ขี้ขลาด,y
cobre,สีทองแดง (!b),y
cocer,ต้ม อบ,y
coetáneo,ร่วมสมัย (คุณศัพท์),y
colarse,แอบเข้าไป แซงคิว,y
colosal,มหึมา มหาศาล (c),y
colérico,ที่โกรธ อารมณ์ไม่ดี,
comerse el marrón,(สำนวน) ถูกทำให้ตกที่นั่งลำบาก ตกกระไดพลอยโจน ถูกทำให้ซวย,y
comerse el tarro,(สำนวน) คิดมาก คิดซ้ำไปซ้ำมา คิดวนไปวนมา,y
como sardinas en lata,อัดกันเป็นกลากระป๋อง (สำนวน),y
compaginar,รวมและทำให้สมดุล บูรณาการณ์ ประยุกต์,y
comprometerse a (hacer algo),ยินยอมที่จะ (ทำ),y
comulgar,รับศีลมหาสนิท,y
conceder,ยินยอม มอบให้,
concienciar,ทำให้ตื่นตัว ทำให้เห็นความสำคัญ,y
confabularse,สมรู้ร่วมคิด วางแผนอย่างลับ ๆ,y
contemplar,นั่งจ้อง พิจารณา ไตร่ตรอง,y
contemplativo,ที่ลึกซึ้ง ที่เกี่ยวกับการเข้าฌาน,
controvertir,โต้เถียง (!d),y
convidar,เชิญชวน เสนอให้,y
conyugal,เกี่ยวกับการแต่งงาน เกี่ยวกับชีวิตหลังสมรส (!m),y
coquetear,จีบ (!l),y
corporal,ที่เกี่ยวกับร่างกาย,y
corpulento,กำยำ ที่ร่างกายตัน ๆ มีกล้ามเนื้อ,
corredizo,แบบเลื่อน,y
correr el riesgo,เข้าไปเสี่ยง,y
correrse la voz,กระจายข่าว,
cortar el bacalao,ขี้สั่ง ทำตัวเป็นผู้นำด้านการตัดสินใจ (สำนวน cortar ~),y
coser,เย็บ,y
cosquillear,ทำให้จั้กจี้ ทำให้คัน,y
costero,ที่อยู่ชายฝั่ง,y
cotidiano,ประจำวัน (คุณศัพท์),y
cretino,โง่,
crucial,สำคัญ,
crujirse los dedos,หักนิ้ว,y
cuajar,จับตัว แข็งตัว เซ็ตตัว ทับถม,y
cuchichear,ซุบซิบ พึมพำ (c),y
currar,ทำงาน (c),y
cursar,เข้าเรียน (หลักสูตร),y
custodiar,เก็บ รักษา ป้องกัน เอาเข้าเซฟ,y
dactilar,ที่เกี่ยวกับรอยนิ้วมือ,y
dar bola,ให้ความสนใจ ตระหนัก,
dar con alguien,หาตัวเจอ พบ,
dar cuerda,หมุน ไข,y
dar de lleno,(สำนวน) ทำให้เจอแจ็กพอต ทำให้เจอสิ่งที่ไม่คาดคิด ใส่เข้าอย่างจัง,y
dar de vez en cuando,เป็นบางครั้ง,
dar el pego,ดูสมจริง เนียน (สำนวน),y
dar el pésame,แสดงความเสียใจ (ให้~ !l),y
dar gato por liebre,(สำนวน) ต้มตุ๋น หลอกลวง (!e),y
dar la lata,รบกวน ทำให้รำคาญ,
dar pistas,ให้เบาะแส,y
dar un frenazo / pegar un frenazo,(กริยา)เบรก (วลี),y
darse por vencido,ยอม,
darse un canto en los dientes,(สำนวน) การแก้บนหลังจากเกิดสิ่งที่ดีหรือไม่แย่เท่าที่คิด,y
de ahí,ดังนั้น,
de antemano,ล่วงหน้า,y
de puntillas,(เดิน)เขย่งปลายเท้า,y
de repuesto,ที่เป็นอันสำรอง,y
de vez en cuando,นาน ๆ ที,y
deambular,เดินมั่ว ๆ เดินไปอย่างไร้จุดหมาย เดินวนไปวนมา,y
decisivo,ซึ่งตัดสินใจแล้ว ที่แน่นอน ที่เด็ดเดี่ยว,y
defecar,ขับถ่าย,y
deficiente,ที่ไม่เพียงพอ (!e),y
degollar,ตัดหัว,y
delatar,แจ้งความ ฟ้อง (!a),y
deletrear,สะกด พูดทีละพยางค์,y
delinear,ร่าง(ภาพวาด) ดราฟต์,y
demorar,กินเวลา ดีเลย์ (กริยา),y
deprimente,ที่น่าหดหู่,y
deprimir,ทำให้หดหู่,y
derramar,ทำหก,y
derrapar,ดริฟต์ (คำกริยา),y
derrochar,ใช้จ่ายอย่างสุรุ่ยสุร่าย,y
derrumbarse,พัง ทลาย,
desafiar,ท้าทาย (en: challenge),y
desahogarse,ปลดปล่อย ระบาย (อารมณ์),y
desarticular,แยกชิ้นส่วน แกะออก เข้าสลาย,y
desatar,แก้มัด แก้เชือก,y
desbordar las previsiones,เหนือความคาดหมาย,
descarrilar,ตกราง,y
descifrar,ถอดรหัส,y
descojonarse,ขำขี้แตกขี้แตน,y
descolgar,ดึงออก ยกออก เอาลง,y
descorazonador,ที่ทำให้หมดกำลังใจ ที่ทำให้ท้อ,y
desechable,ใช้แล้วทิ้ง,y
desembocar,ไหลไป ไหลรวมไป คลายประจุ,
desempeñar,ลงมือ ทำ เข้าไปมีบทบาท,y
desesperante,ที่ทำให้โกรธ หงุดหงิด ที่ทำให้หมดกำลังใจ,y
desfallecer,เป็นลม หมดสติ (vi),y
desistir,ยอมแพ้ หยุด,
deslizante,(คุณศัพท์) ลื่น ไถล,y
deslumbrar,ฉายแสงจ้า ทำให้ตราพร่ามัว,y
desmayar,ตัดใจ,y
desmayarse,เป็นลม สลบ (vr),y
desollar,ถลกหนัง ฉีกเป็นชิ้น ๆ,y
despegar,เอาออก เอาเครื่องขึ้น (en: take off),y
despejar,ทำให้เรียบร้อย ทำให้สะอาด (en: to clear),y
despiadado,เหี้ยมโหด ไร้ความเมตตา,y
despistado,วอกแวก สมาธิหลุด,y
desplumar,ถอนออก เอาออก ถอนขน,y
despojar,ถอดออก ปลดออก ปล้น,y
desportillar,ทำให้ร้าว ทำให้บิ่น,y
destapar,เปิด(ฝา),
destripar,แกะออก ผ่าไส้,y
destrozar,ทำลาย,
desvelado,นอนไม่หลับ ไม่นอน,y
desviar,เปลี่ยนทาง เบี่ยงเบน,y
detener,จับกุม,y
detenerse,หยุด,
deteriorado,ที่ชำรุด เสียหาย,
determinante,ที่เป็นตัวบ่งชี้ (d),y
detestar,เกลียดชังมาก,y
dictaminar,ให้คำตัดสิน (en: rule),y
diestro,ถนัดขวา,y
dilatado,ที่ยาวออกไป,
diminuto,เล็ก ๆ,
discernir,แยก แยะแยะ,
discordante,ซึ่งไม่สอดคล้องกัน,
disimular,เก็บ ซ่อน (อารมณ์ ความลับ) (d),y
dispuesto,พร้อม ชำนาญ,
disuadir,เตือน ห้ามปราม,y
doblegar,ปราบปราม,y
domiciliar,ตั้งค่าการชำระเงิน,y
dormilón,ขี้เซา นอนหลับเยอะ,y
dormir a pierna suelta,นอนพอ,y
dormir boca abajo,นอนคว่ำ,y
dormir boca arriba,นอนหงาย,y
dormir de lado,นอนตะแคง,y
dormir la mona,นอนหลับพักฟื้นจากการเมา (สำนวน),y
dormirse en los laureles,ได้ดีแล้วเหลิง ย่ามใจ ไม่ทำอะไร,y
dormitar,งีบหลับ เผลอหลับ,y
dubitativo,ที่สงสัย ที่เต็มไปด้วยความสงสัย ที่ไม่แน่นอน,y
dulcificar,ทำให้หวาน ทำให้อ่อน,y
dócil,เชื่อง ว่านอนสอนง่าย,y
echar brotes,(ต้นไม้)แตกหน่อ แตกต้นอ่อน,y
echar la culpa,โทษ กล่าวโทษ,y
echar una bronca,ดุด่าอย่างรุนแรง,
echar una mano,(ยื่นมือ)เข้าไปช่วยเหลือ,y
echar una ojeada,อ่าน/ดูแบบผ่าน ๆ,y
echar una reprimenda,ตำหนิ,
ecuatoriono,คำคุณศัพท์ของเอกวาดอร์,y
efervescente,ที่มีชีวิตชีวา ที่มีฟองผุด ๆ,y
efímero,สั้น ๆ ชั่วคราว คร่าว ๆ ไม่ยั่งยืน (e),y
ejemplificar,ทำให้กลายเป็นตัวอย่าง ยกตัวอย่าง แสดงให้เห็น,y
ejercitar,ฝึก ซ้อม,
el Amazonas,แม่น้ำอเมซอน,y
el Boletín Oficial del Estado,ราชกิจจานุเบกษา (สเปน),y
el Círculo Polar Antártico,"เส้นวงกลมแอนตาร์กติก (66°33'46"" ใต้)",y
el Círculo Polar Ártico,"เส้นวงกลมอาร์กติก (66°33'52"" เหนือ)",y
el Ecuador (!país),เส้นศูนย์สูตร,y
el Golfo Pérsico,อ่าวเปอร์เซีย,y
el Golfo de Bengala,อ่าวเบงกอล,y
el Golfo de México,อ่าวเม็กซิโก,y
el Himalaya,เทือกเขาหิมาลัย,y
el Mar Arábigo,ทะเลอาหรับ,y
el Mar Caspio,ทะเลแคสเปียน,y
el Mar Mediterráneo,ทะเลเมดิเตอร์เรเนียน,y
el Mar Muerto,ทะเลสาบเดดซี,y
el Mar Negro,ทะเลดำ,y
el Mar Rojo,ทะเลแดง,y
el Mar de Bering,ทะเลเบริง,y
el Mar de la China Meridional,ทะเลจีนใต้,y
el Mar del Caribe,ทะเลแคริบเบียน,y
el Monte Kilimanjaro,เทือกเขาคิลิมันจาโร,y
el Nilo,แม่น้ำไนล์,y
el Océano Antártico,มหาสมุทรแอนตาร์กติก,y
el Océano Atlántico,มหาสมุทรแอตแลนติก,y
el Océano Pacífico,มหาสมุทรแปซิฟิก,y
el Océano Ártico,มหาสมุทรอาร์กติก,y
el Océano Índico,มหาสมุทรอินเดีย,y
el Polo Norte,ขั้วโลกเหนือ,y
el Polo Sur,ขั้วโลกใต้,y
el Rin,แม่น้ำไรน์,y
el Trópico de Capricornio,"เส้นทรอปิกออฟแคปริคอร์น (23°26'17"" ใต้)",y
el Trópico de Cáncer,"เส้นทรอปิกออฟแคนเซอร์ (23°26'11,8"" เหนือ)",y
el abanico,(คำนาม) พัด <b><i><u>(ไม่ใช่คำกริยา)</u></i></b>,y
el abecedario,"ตัวอักษร A, B, C (ที่เรียงกันแล้ว)",y
el abeto,ต้นสน (ยุโรป),y
el abismo,นรก ใต้พื้นพิภพ,y
el abrelatas,ที่เปิดกระป๋อง,y
el acero,เหล็ก (!h),y
el acertijo,เกมปริศนา เกมแก้ปัญหา ปัญหาเชาว์ (en: puzzle),y
el acontecimiento,เหตุการณ์ (a),y
el acueducto,สะพานส่งน้ำ,y
el adhesivo,สติกเกอร์ (!p),y
el adoquín,หินกรวด,y
el aerosol,สเปรย์ ละออง,y
el aforo,ความจุ (!c),y
el afán,ความปรารถนา ความกระตือรือต้น,y
el agente de tráfico,ตำรวจจราจร (โบกรถ),y
el agua de origen,แหล่งน้ำ,y
el aguijón,เหล็กใน ส่วนที่ใช้ต่อยของสัตว์,y
el agujero,รู,y
el ahijado,ลูกเลี้ยง,y
el ahínco,ความกระตือรือต้น,
el ajedrez,หมากรุก,y
el ajo puerro,กระเทียมต้น,y
el alacrán,แมงป่อง (!e),y
el alarde,การโอ้อวด การแสดงออก,y
el albaricoque,แอพริคอต,y
el albañil,ช่างก่อสร้าง,y
el alcance,ขอบเขต (ของเรื่อง ของเนื้อหา),
el alero,ชายคา,y
el alfalto,ถนนลาดยาง,y
el alfarero,ช่างปั้นดินเผา,y
el algodón,ผ้าฝ้าย,y
el alicate,คีมหนีบ คีมตัด,y
el aliento,ลมหายใจ (!v!ción),y
el almacén,โกดัง,y
el almanaque,ปฏิทิน (!c),y
el alquiler,การให้เช่า (~l~),y
el alud,ดินถล่ม (!d),y
el ama de casa,พ่อบ้าน แม่บ้าน,y
el amuleto,เครื่องราง ของขลัง,y
el analgésico,ยาแก้ปวด,y
el andén,ชานชาลา,y
el anfibio,สัตว์ครึ่งบกครึ่งน้ำ,y
el anfitrión,เจ้าบ้าน เจ้าของบ้าน,y
el anillo de crecimiento,วงปี,y
el antifaz,หน้ากาก (บริเวณตา),y
el antiséptico,ยาฆ่าเชื้อ (ภายนอก),y
el anular,นิ้วนาง,y
el anzuelo,ตะขอ ขอเบ็ด (!g),y
el apagón,ไฟดับ,y
el aparato,อุปกรณ์ เครื่องมือ (a),y
el aparato digestivo,ระบบย่อยอาหาร,y
el aperitivo,อาหารเรียกน้ำย่อย,y
el aplazamiento,การเลื่อนออกไป,y
el apocalipsis,จุดจบ หายนะ,
el apogeo,ช่วงพีค (๓ พยางค์),y
el apoyabrazos,ที่วางแขน,y
el apretón,การบีบ การรัด การจับมือ การจับแน่น,y
el aptitud,ความสามารถพิเศษ อัจฉริยภาพ,y
el aquelarre,การชุมนุมของแม่มด,y
el arbotante,เสาค้ำที่ลอย,y
el arbusto,พุ่มไม้,y
el arce,เมเปิล,y
el arco iris,รุ้งกินน้ำ,y
el arcén,ไหล่ทาง,y
el arenero,กระบะทราย,y
el arete,ตุ้มหู (ละตินอเมริกา),y
el arpón,ฉมวก,y
el arqueólogo,นักโบราณคดี,y
el arrebato,การปรี๊ดแตก อารมณ์ปะทุ,y
el arrendador,ผู้ให้เช่า,y
el arrendamiento,การให้เช่า (~rr~),y
el arrendatario,ผู้เช่า,y
el arriero,คนขี่ล่อ,y
el arroz glutinoso,ข้าวเหนียว,y
el artilugio,สิ่งประดิษฐ์ (en: artefact),y
el asesor,ที่ปรึกษา ผู้ช่วย,y
el asilo,สถานที่ลี้ภัย,y
el asno,ลา (สัตว์ !b),y
el aspirante,ผู้สมัคร ผู้แสวงหา ผู้ท้าทาย,
el atajo,ทางลัด,y
el ataque (de la enfermedad),อาการ(โรค)กำเริบ,y
el atasco,รถติด,y
el ataúd,โลงศพ,y
el atentado terrorista,การก่อการร้าย,y
el atributo,แอตทริบิวต์,y
el atril,โพเดียม,y
el auge,จุดพีค จุดสุดยอด (๒ พยางค์),y
el aullido,เสียงกรีดร้อง,
el avestruz,นกกระจอกเทศ,y
el aviador,นักบิน (!p),y
el avispero,รังต่อ ฝูงต่อ เรื่องที่ยุ่งเหยิง,y
el ayudante,อาจารย์ผู้ช่วย,y
el azar,โชคชะตา (!d),y
el azote,แส้,y
