タイ語,日本語,หมายเหตุ
ห้องของเขานั้น ไม่ว่าจะพื้นหรือ<b><u><i>บน</i></u></b>เตียงก็มีของกระจัดกระจาย(二文字)เต็มไปหมด,彼の部屋は、床といわずベッドの上といわず、いろいろなものが散乱しています。,・「〜いわず」を使って<br>・丁寧語
ไม่มีเหตุผลที่เธอจะ<u>รู้สึก</u>มีปมด้อยกับใคร,あなたは誰にも劣等感を感じる理由はない。,
คนนั้น เดี๋ยวหัวเราะเดี๋ยวก็โกรธ หลายหลายอารมณ์จังเลยนะ,あの人、笑ったり怒ったりして、喜怒哀楽が激しいんだね。,・四字熟語を使って
ถ้าพิจารณาถึงสภาพการณ์การบริหารงานอย่างชุ่ยของบริษัทนั้นแล้ว ไม่พูดไม่ได้เลยว่าไม่แปลกใจที่มีปัญหาในครั้งนี้ออกมา,あの会社の杜撰な経営体質を考えると、今回の問題は出るべくして出たと言わざるを得ないだろう。,・『べくして』を使って
ไม่น่าเชื่อเลยว่าคนแก่ที่ดูใจดีคนนั้นจะเป็นผู้ร้ายในคดีชิงทรัพย์,あの優しそうな老人が強盗事件の犯人だったとは…,・『とは』を使って
ผู้หญิงคนนั้นเอาแต่โกหกมาตั้งแต่เป็นเด็ก <u>สุดท้าย</u>ก็เลยถูกจับกุมเพราะต้มตุ๋น,あの女は子供のころから嘘ばかりついていて、最後には詐欺で捕まるしまつだ。,・『しまつ』を使って
เด็กคนนั้นพยายามช่วยเหลือ(助)พ่อแม่ตามประสาเด็ก,あの子は幼いなりに親を助けようとしている。,・『なりに』を使って
ภาพยนตร์เรื่องนั้นภาคก่อนมีคนดูเกิน 2.5 ล้านคนแท้ ๆ แต่ได้ยินมาว่าภาคต่อมีคนดูไม่ถึงล้านคนเลย,あの映画は前作の観客が250万人を超えたのにひきかえ、続編は100万人も届かなかったそうだ。,『ひきかえ』を使って
หนังเรื่องนั้น<b><u>เนื้อหา</u></b>ซับซ้อนที่สุด จึงไม่เป็นที่นิยมในหมู่เด็ก ๆ,あの映画は複雑極まる内容で、子どもには人気がない。,
ประธานนักเรียนคนนั้นเป็นคนโปร่งใสตรงไปตรงมา ก็เลยไว้ใจได้,あの生徒会長は公明正大だから信頼できる。,・四字熟語を使って
ถ้าจำนวนผู้โดยสารลดลงอย่างนี้ต่อไป คงจำเป็นจะต้องยกเลิกเส้นทางรถไฟเส้นนี้,このまま利用者が減れば、この鉄道は廃線を余儀なくされるだろう。,・『余儀』を使って
คอมพิวเตอร์เครื่องนี้เก่าเกินไปแล้ว แม้แต่เวลาที่ใช้เปิดเครื่องก็ยังมากกว่า 3 เท่าของเครื่องรุ่นใหม่ ๆ,このパソコンは古すぎる。起動にかかる時間からして最新種類の３倍以上だ。,・『からして』を使って
ได้ยินมาว่าถ้าสูบบุหรี่บนท้องถนนในเขตนี้จะถูกปรับไม่เกินหนึ่งหมื่นเยนตามกฎข้อบังคับ,この地区で路上喫煙すると、条例に則して1万円以下の罰金が科せられるそうだ。,『そくし』を使って
สิ่งที่อาศัยอยู่ในจักรวาลไม่มีที่สิ้นสุดนี้มีแต่มนุษยชาติเราหรือ,この果てしない宇宙にいるのは、私たち人類だけですか。,・丁寧語
เนื่องจากห้องพักที่นี่ทั้งเงียบสงบและการเข้าถึงจราจรก็สะดวก ผู้สนใจเข้ามาอยู่จึงแห่มากัน(สอบถาม)มากมาย,この物件は、静かで交通も便利とあって、入居希望者が殺到している。,・『とあって』を使って
เมืองนี้ถ้าขืนไปผิดถนนแค่เส้นเดียว จะไปโผล่ที่ไหนก็ไม่รู้เลย,この町は道を一本間違えようものなら、全然知らない場所に出てしまう。,・「ものなら」を使って
หวังเป็นอย่างยิ่งว่างานวิจัยนี้จะเป็นหนทางหนึ่งในการรักษาโรคที่รักษาได้ยาก,この研究が難病治療の一助となることを期待してやまない。,・『やまない』を使って
ถ้าเป็นเรื่องระดับนี้ คงไม่จำเป็นต้องขอคำแนะนำจากประธานบริษัท,この程度のことなら、社長の指示を仰ぐまでもないだろう。,『までもない』を使って
รถยนต์คันนี้ไม่เพียงแต่รูปลักษณ์(การออกแบบ)เท่านั้น สมรรถนะยังดีด้วย,この車はデザインもさることながら、性能もいい。,『もさることながら』を使って
รถยนต์คันนี้กินน้ำมันก็น้อย และด้วยดีไซน์ที่มีระดับ พูดได้ว่าไม่แปลกใจเลยที่ขายดี,この車は燃費も良く、洗練されたデザインで、売れるべくして売れたと言える。,・『べくして』を使って
นี่คือพระพุทธรูปที่เป็นระดับสมบัติของชาติ　เพราะเป็นสิ่งของระดับนี้ จึงไม่สามารถขนส่งไปโดยใช้บริษัทขนส่งธรรมดา ๆ ได้,これは国宝級の仏像なのです。物が物なだけに、普通の運送業者には頼めません。,・『〜なだけに』を使って<br>・丁寧語
บริษัทแบบนี้เดี๋ยวจะลาออกให้ดู,こんな会社辞めてやる。,・『やる』を使って
ไม่ว่าจะด้วยเหตุผลใดก็ตาม การใช้กำลังก็ให้อภัยไม่ได้,たとえどんな理由であれ、暴力は許されない。,『であれ』を使って
คว้านแกนแอปเปิล,りんごの芯を抉る。,
กลุ่มผู้ประท้วงเมื่อวานนี้นั้น ได้ปิดถนนหลายเส้นบริเวณใจกลางเมือง,デモ隊が昨日、町の中心部のいくつかの道路を閉鎖した。,
ผู้ว่าการ<u>รัฐ</u>นิวยอร์กได้ประกาศสถานการณ์ฉุกเฉิน,ニューヨーク州知事は非常事態宣言を発令した。,
ถ้าตั้งใจจะเป็นนักเปียโน การเริ่มต้นไวนั้นดีที่สุดแล้ว แต่คนที่เพิ่งมาเริ่มหัดตอนมัธยมปลายแล้วมาเชี่ยวชาญในภายหลังมันก็มีเหมือนกันนะ,ピアニストを目指すなら、早く始めるに越したことはないでしょうが、高校生から始めてプロになった人もいますよ。,・「越す」を使って<br>・丁寧語
ถึงจะเป็นแมนชันที่ให้เลี้ยงสัตว์ได้ก็เถอะ ไม่ได้แปลว่าจะเลี้ยงสัตว์ชนิดไหนก็ได้,ペット可のマンションとはいえ、どんな動物でも飼えるわけではない。,・「とはいえ」を使って。
กำลังอ่านหนังสือเรียนอย่างใจจดใจจ่อ,一心不乱に勉強している。,・四字熟語を使って
ขอเวลาอีกสามวัน,三日間ご猶予を願います。,・丁寧語
เจ้านายเข้าโรงพยาบาล จึงไปปรึกษาเกี่ยวกับการดำเนินงาน และถือโอกาสไปเยี่ยมด้วย,上司が入院したので、お見舞いかたがた仕事の進め方について相談に行った。,・『かたがた』を使って
จำเป็นที่จะต้องเชื่อฟังคำสั่งของหัวหน้า,上司の指示を仰ぐことが必要です。,丁寧語
เอาเงินที่พ่อแม่ส่งมาจากการหามาด้วยความยากลำบากไปเที่ยวเล่นนี่ ช่างอกตัญญูเสียเหลือเกิน,両親が苦労して送ってくれたお金を遊びに使うなんて、親不孝にもほどがある。,
เพราะ(ความหรูหราของ)รถที่นั่งมา น่าจะโดนเข้าใจผิดว่าเป็นคนรวยแหละ,乗っている車が車なだけに、金持ちだと誤解されるかもしれないよ。,・『なだけに』を使って
สถานการณ์<sub>(สภาพการณ์)</sub>แบบนี้รอช้าไม่ได้แล้ว,事態は一刻の猶予も許されない。,
ในการป้องกันไม่ให้เกิดอุบัติเหตุบนท้องถนน ทั้งคนเดินถนนและคนขับรถต้องเคารพสัญญาณจราจร,交通事故を防止するには、歩行者も運転手も信号を守らなければなりません。,・丁寧語
นิสัยของคนเรามีทั้งด้านดีและด้านไม่ดีเนอะ,人の性格は一長一短だね。,・四字熟語を使って
<u>ขอ</u>ให้ตลอดทั้งปีนี้เป็นปีแห่งสันติภาพ,今年1年が平和な年になることを願ってやみません。,・丁寧語<br>・『やまない』を使って
งานวันนี้จะเสร็จกี่โมงก็ยังไม่รู้ แต่ถึงจะขึ้นรถไฟเที่ยวสุดท้ายไม่ทันก็เถอะ ยังไงก็พักบ้านเพื่อนอยู่แล้ว ไม่เป็นไรหรอก,今日の仕事は何時に終わるかわからないんだけど、終電に乗れなかったら乗れなかったで、友達のうちに泊まるから大丈夫だよ。,・「〜たで」を使って
เนื่องจากวันนี้เป็นวันอาทิตย์แรกของวันหยุดฤดูร้อน สถานที่เล่นน้ำชายทะเล<u>ทั่วประเทศ</u>จึงคับคั่งไปด้วยผู้คนจำนวนมาก,今日は夏休み最初の日曜とあって、全国の海水浴場は多くの人で賑わった。,・『とあって』をつかって
งานยุ่งมาก แม้แต่พักเที่ยงก็ยังพักได้ไม่เต็มที่,仕事が忙しすぎて、昼休みすら満足に取れない。,・『すら』を使って
ฉันเข้าใจว่าบริษัทต้องการการทำงานที่ทำได้อย่างไม่มีตำหนิ,仕事を卒なくこなす事を会社は求めている事はわかります。,・丁寧語
เงินที่ยืมไปก็ยังไม่คืน แถมมาขอยืมอีก ช่างหน้าด้านเสียเหลือเกิน,借りた金を返さずに、また借りに来るとは、図々しいにもほどがある。,
เพื่อจะได้หลุดพ้นจากชีวิตที่มีหนี้สินท่วมตัว จึงตัดสินใจไปปรึกษาทนายความ,借金まみれの生活から脱出するために、弁護士に相談しに行くことにした。,・『まみれ』を使って
ฉันเสียดายที่มองข้ามเรื่องสุขภาพ,健康を疎かにしたことを悔やんでいる。,
ไม่รู้จักแยกชีวิตส่วนตัวและการงาน,公私の別を弁えない。,
การเล่นสเกตบนทะเลสาบที่จับตัวเป็นน้ำแข็งนั้น เป็นการละเล่นอันสนุกสนานที่มีเฉพาะในประเทศทางตอนเหนือเท่านั้น,凍った湖の上でのスケートは、北国ならではの楽しい遊びだ。,・『ならでは』を使って
เนื่องจากเวลาทับซ้อนกับการไปทำงานนอกสถานที่ จึงขอยกเลิกการประชุม,出張と重なってしまったために、会議を中止させていただいた次第です。,・丁寧語<br>・『次第』を使って
นอนเต็นท์เป็นครั้งแรก แม้จะไม่ถึงกับพูดได้ว่าอยู่สบาย แต่ก็ไม่เลวร้ายเท่าที่คิด,初めてテントに寝たが、快適とは言えないまでも、思ったほど悪くはなかった。,『ないまでも』を使って
การที่คนฉลองวันปีใหม่ในศาลเจ้า จัดงานแต่งงานในโบสถ์ และจัดงานศพที่วัดแล้วไม่ใช่เรื่องน่าแปลกนั้น คิดว่าเป็นลักษณะเฉพาะของประเทศญี่ปุ่นที่ไม่เคร่งครัดเรื่องศาสนามากนัก,初詣は神社、結婚式は教会、葬式は寺でする人が珍しくないのは、宗教に寛容な日本ならではだと思う。,・『ならでは』を使って
ถ้าเก่งภาษาอังกฤษแบบคุณ 加藤 ก็ว่าไปอย่างนะ แต่จะให้ผมเป็นล่ามการประชุมงี้ไม่ไหวนะครับ,加藤さんのように英語が上手ならいざしらず、僕に会議の通訳なんて無理ですよ。,・丁寧語
แม้จะจากประเทศมา 10 ปี แต่ก็ไม่มีมีแต่วันเดียวที่จะลืมบ้านเกิดตัวเอง,国を離れて10年経つが、一日たりとも故郷を忘れたことはない。,・『たりとも』を使って
การทำงาน<sub>(ตอบสนองต่อสถานการณ์)</sub>ของประชาคมนานาชาตินั้น ไม่มีคำว่ารอได้แม้แต่วินาทีเดียว,国際社会の対応には一刻の猶予もありません。,・丁寧語
ผู้ที่จะปกป้องระบบนิเวศของโลกและรักษาสิ่งแวดล้อมได้มีเพียงมนุษยชาติเท่านั้น,地球の生態系を保全し、環境を守ることができるのは、人類をおいて他にない。,『をおいて』を使って
ถึงจะผิดพลาดแต่ทำใหม่อีกทีก็ได้นี่,失敗したら失敗したでまたやればいい。,・「〜たで」を使って
ถ้าอยู่บ้านยังพอทน แต่ไม่อยากให้ใส่ชุดนอนออกไปข้างนอกเลย,家でならまだしも、パジャマで外へ出るのはやめてほしい。,
ถ้าจะซื้อบ้าน ควรขอให้ผู้เชี่ยวชาญช่วยตรวจสอบ<b><u>อย่างละเอียด</u></b>ตั้งแต่ใต้พื้นบ้านจนกระทั่งหลังคาดีกว่านะ,家を買うなら、床下から屋根に至るまで専門家に細かくチェックしてもらった方が良いですよ。,・丁寧語<br>・『に至るまで』を使って
ไม่สนใจงานบ้าน ห้องก็เลยรกรุงรัง,家事が疎かになって、部屋がぐちゃぐちゃだ。,
ค่าเช่าบ้านแพงก็ลำบากอยู่นะ แต่ถ้าถูกก็น่าจะมีปัญหาจนรู้สึกไม่สบายใจอีกแหละ,家賃が高いのも困るけど、安かったら安かったで何か問題がありそうで不安だよね。,・「〜たで」を使って
เอกสารในการสมัครงานจำพวกประวัติส่วนตัวนั้น จะไม่มีการส่งคืนไม่ว่าผลการสมัครจะเป็นอย่างไรก็ตาม,履歴書などの応募書類は、結果のいかんによらず、ご返却いたしません。,・敬語<br>・『いかん～ず』を使って
แม่น้ำขุ่นไปด้วยโคลน,川は泥で濁っていた。,・過去
ที่โรงงานเมื่อผลิตสินค้าใหม่จนเสร็จสมบูรณ์แล้ว ก็จะบรรจุใส่กล่องแล้วส่งออกไปขายทันที,工場では新しい製品が完成するそばから箱詰めされて出荷されていく。,・『そばから』を使って
ทันทีที่พนักงานร้านเปิดประตู ลูกค้าที่เฝ้ารออยู่ก็กรูกันเข้ามา,店員がドアを開けるが早いか、待っていた客がなだれ込んできた。,・『早いか』を使って
บริษัทของเรานั้น ด้วยการบริหารงานตามยุคสมัย ทำให้เป็นผู้นำในวงการธุรกิจ<b><u><i>มาตลอด</i></u></b>,弊社は、時代に即した経営によって、常に業界をリードしてまいりました。,・『そくし』を使って<br>・丁寧語
ไม่ใช่ว่าจะไม่มีหลักฐานที่บอกว่าเขาเป็นผู้ร้าย เพียงแค่<u>ยัง</u>ตัดสินลงไปไม่ได้,彼が犯人だという証拠はないでもないが、まだ断定はできない。,
ความไม่รู้เรื่องของเขาขัดขวางการทำงาน<sub>(การก้าวหน้า)</sub>ของเรา,彼の無知が我々の進歩を妨げた。,
ถ้าเป็นความผิดพลาดของเขา ทางบริษัท<u>คงจะ</u>ต้องเรียกร้องค่าเสียหาย,彼の過失となれば、会社は損害賠償を請求せずにはおかないだろう。,・『おかない』を使って
เริ่มจากนิยายเรื่องนี้กลายเป็นหนังสือขายดี หลังจากนั้นเขาก็เขียนนิยายชุดที่ได้รับความนิยมออกมาเรื่อย ๆ,彼は、この小説がベストセラーになったのを皮切りとして、次々と人気シリーズを生み出していた。,・『皮切り』を使って
เขาน่ะ ท่าทางว่าจะใช้เรื่องการออกทำงานต่างจังหวัดเป็นข้ออ้าง ที่ไหนได้ไปหาแฟนนี่เอง,彼は、地方出張にかこつけて、どうやら彼女に会いに行っているらしい。,
เขาสร้างข้ออ้างขึ้นมา,彼は口実をでっち上げた。,・ข้ออ้าง ≠ 言い訳
เขาเป็นทั้งอาจารย์มหาวิทยาลัยและนักเขียนที่มีชื่อเสียง,彼は大学の教授にして、有名な作家でもある。,・『にして』を使って
เขาถือโอกาสตอนที่พนักงานไม่ได้มองกินช็อกโกแลตฟรีที่แจกให้ชิมไปถึง 3 ชิ้น,彼は店員が見ていないのをいいことに、試食のチョコレートを3つも食べた。,
เขาตาพร่ามัวจากแสงอันเจิดจ้า,彼は強い光りに目が眩んだ。,
เขาถูกแฟนหลอกจนซื้อแหวนราคาแพง,彼は彼女の口車に乗って、高価な指輪を買ってしまった。,
เขาเกิดมาเต็มไปด้วยพรสวรรค์หลากหลายอย่าง ทำอะไรก็ไม่มีจุดตำหนิ,彼は様々な才能に恵まれて、なんでも卒なくこなせる。,
แม้ว่าจะเป็นช่วงฤดูร้อนจัด อย่าว่าแต่แอร์เลย แม้แต่พัดลมเขาก็ไม่ใช้,彼は真夏でも、エアコンはおろか、扇風機さえ使わないそうだ。,・『はおろか』を使って
เขามีเทสดีในด้านศิลปะ,彼は芸術に関しては目が肥えている。,
เป็นพระเอกแต่ดูธรรมดาสามัญแบบเขานั้น(เป็นเรื่องที่)แปลก,彼ほど平々凡々たる主人公は珍しい。,
เธอให้ความทุ่มเททั้งหมดไปกับงานนั้น,彼女はその仕事に全精力をつぎ込んだ。,・เธอ - บุรุษที่ 3
เธอเอาแต่คร่ำครวญเศร้าโศกไปกับการตายของสามีเธอ,彼女は夫の死を嘆き悲しむばかりであった。,・เธอ - บุรุษที่ 3
เธอมีอคติอย่างรุนแรงกับภาพแนวแอบสแตรก,彼女は抽象画に対して強い偏見を持っている。,・เธอ - บุรุษที่ 3
ทันทีที่เธอยืนขึ้น ก็สาดน้ำในแก้วน้ำใส่หน้าเขา,彼女は立ち上がるなり、コップの水を彼の顔にかけた。,・『なり』を使って
คนไข้ที่เข้ารับการผ่าตัดหัวใจนั้นพ้นเขตอันตรายแล้ว,心臓移植手術を受けた患者は危険な状態を脱した。,
จะหลีกเลี่ยงสงครามได้หรือไม่นั้น ขึ้นอยู่กับผลของการประชุม(kd)ในครั้งนี้,戦争を回避できるかどうかは、今回の会談の結果いかんにかかっている。,『いかん』を使って
เพราะได้ละเลยจุดบกพร่องที่ได้มีการบ่งชี้ไว้แล้ว นี่จึงเป็นอุบัติเหตุที่ไม่แปลกใจเลยที่มันเกิดขึ้น,指摘された欠陥を放置していたのだから、これは起こるべくして起こった事故だ。,・『べくして』を使う
เรื่องการทำความสะอาดไม่ต้องพูดถึง แค่ฟูกนอนยังไม่เคยยกขึ้นมา,掃除は疎か、布団を上げたこともない。,
นักเรียนเล่นโทรศัพท์มือถือแม้ในชั่วโมงเรียน โดยไม่สนใจคำเตือนครั้งแล้วครั้งเล่าของคุณครู,教師の再三の注意をよそに、学生は授業中も携帯電話をいじっている。,・『をよそに』を使って
ไปเดินเล่นก็เลยรวดซื้อนมมาจากร้านสะดวกซื้อน่ะ,散歩がてら、コンビニで牛乳を買ってきたよ。,
ปัญหาระหว่างการท่องเที่ยวนั่น ไม่มีเลยเป็นการดีที่สุด แต่บางครั้งเรื่องไม่คาดฝันก็กลายเป็นความทรงจำดี ๆ ได้เช่นกัน,旅行中のトラブルは、ないに越したことはないが、案外それがいい思い出になることもある。,・『越す』を使って
ถึงจะเป็นฤดูใบไม้<b><i><u>ผลิ</u></i></b>ก็เถอะ วันนี้ยังหนาวอยู่เลย,春とはいえ、今日はまだ寒い。,・「とはいえ」を使って。
(คำขึ้นต้นจดหมาย) เนื่องด้วยสถานการณ์ปัจจุบัน กรุณารักษาสุขภาพด้วย,時節柄、ご自愛ください。,
ถึงค่าจ้างจะขึ้นแต่อย่าคาดหวังไว้ดีกว่า อย่างมากก็คงประมาณ 50 เยนแหละ,時給が上がるといっても期待しない方がいいよ。せいぜい50円といったところだよ。,・「といったところ」を使って。
บริษัทที่ยอดขายเติบโตอย่างราบรื่นโดยไม่ได้รับผลกระทบจากภาวะเศรษฐกิจที่ซบเซาก็มี,景気の低迷をよそに、順調に売り上げを伸ばしている会社もある。,・『をよそに』を使って
พร้อมด้วยเศรษฐกิจที่ย่ำแย่ลงเรื่อย ๆ โรงงานจำเป็นต้องปิดตัวลง,景気悪化に伴い、工場は閉鎖を余儀なくされた。,・『余儀』を使って
พนักงานในห้างสรรพสินค้าที่มีชื่อเสียง แม้กระทั่งคำพูดคำจายังสุภาพอ่อนน้อม,有名デパートの店員は、言葉遣いからして丁寧だ。,・『からして』を使って
นักกีฬาที่คาดหวังไว้ดันบาดเจ็บจนลงสนามไม่ได้นี่มันน่าเสียดายที่สุดเลยเนอะ,期待していた選手が怪我で出場できないのは残念極まるね。,
ที่สามารถเข้าสู่รอบชิงชนะเลิศได้นั้น เป็นเพราะความร่วมมือกันของทีม,決勝に進出できたのはチームの団結あってのことだ。,・『あっての』を使って
ไม่ว่าจะเป็นน้ำพุร้อน หรือจะเป็นลานสกี ฮอกไกโดในฤดูหนาวนั้นเต็มเปี่ยมไปด้วยมนต์เสน่ห์สำหรับนักท่องเที่ยว,温泉といい、スキー場といい、冬の北海道は観光客にとって魅力いっぱいです。,・『～といい』と使って<br>・丁寧語
ช่วงที่เกิดภัยพิบัติ องค์กรภาคเอกชนรับมือได้อย่างฉับไว ผิดกับภาครัฐที่เห็นได้ชัดว่ารับมือได้อย่างล่าช้า,災害時、迅速に対応した民間団体にひきかえ、政府は対応の遅れが目立った。,・『ひきかえ』を使って<br>・ผิดกับภาครัฐที่ความล่าช้าของการรับมือนั้นเห็นได้ชัด
ไฟหน้าก็ไม่เปิด แถมยังเล่นโทรศัพท์(เมล)ขณะขี่จักรยาน ช่างไม่มีสามัญสำนึกเสียเลย,無灯火の上にメールしながら自転車に乗るなんて、非常識にもほどがある。,
ไม่ว่าจะเป็นสุนัขหรือแมว แมนชันที่นี่ห้ามเลี้ยงสัตว์,犬であれ猫であれ、このマンションでペットを飼うことは禁止されています。,・『であれ』を使って<br>・丁寧語
เรื่องความจำเป็นในการรักษาสิ่งแวดล้อมนั้น ไม่จำเป็นที่จะต้องไปทำประชาพิจารณ์อีกครั้ง,環境保護の必要性は、改めて世論に問うまでもないことだ。,『までもない』を使って
เขาไม่มาโดยอ้างว่าป่วย,病気を口実にして彼は来なかった。,
ไม่ใช่แค่กับมะเร็งอย่างเดียว แต่การตรวจเจอโรคตั้งแต่เนิ่น ๆ นั้นดีที่สุด,癌に限らず、病気の発見は早いに越したことはない。,・「越す」を使って
ถ้าสายตาไม่ดี ใส่แว่นตาหรือไม่ก็คอนแทคเลนส์ก็ได้นี่,目が悪いなら、眼鏡なりコンタクトなりすればいいのに。,・『～なり～なり』を使って
เพราะคู่แข่งแบบนี้ จึงน่าจะเป็นการแข่งขันที่ตึงเครียดน่าดู,相手が相手だけに、緊迫した試合になるだろう。,・『〜だけに』を使って
หวังว่าปัญหาเรื่องการสืบทอดมรดกจะแก้ไขได้ด้วยการประชุมหารือระหว่างผู้ที่เกี่ยวข้อง,相続問題は当事者の協議をもって解決することが望ましい。,・『をもって』を使って
เพราะ(ความเหมาะสม)ชุดที่ใส่มา ก็เลยทำให้ทำใจเข้าร้านอาหารหรู ๆ แบบนี้ลำบาก,着ている服が服なだけに、こんな高級レストランに入りづらい。,・『〜なだけに』を使って
ไม่อยากให้ใช้ภาษีของพวกเราไปอย่างสูญเปล่าแม้แต่เยนเดียว,私たちの税金は1円たりとも無駄に使って欲しくない。,・『たりとも』を使って
พวกเราชอบที่จะตัดสินนิสัยของคนคนนั้นจากสัญชาติเท่านั้น,私たちは国籍だけでその人の性格を判断してしまうきらいがある。,・『きらいがある』を使って
โรงเรียนฉันมีกฎระเบียบเยอะแยะเต็มไปหมดจนเหมือนจะหายใจไม่ออก,私の学校は規則ずくめで、息つまりそうだ。,・『ずくめ』を使って
ฉันสำลักควัน,私は煙でむせた。,
ฉันผูกปมได้<u>ไม่ค่อย</u>เก่ง,私は結び目をあまり上手にはつくれない。,
คิดว่าเพราะด้วยแนวคิดการบริหารธุรกิจที่ไม่ตรงกัน ก็เลยไม่แปลกใจที่สองคนนั้นจะแยกทางกัน,経営に対する考え方が違っていたから、あの二人は別れるべくして別れただと思う。,・『べくして』を使う
งานแต่งงานเนี่ย คนที่ว่าถึงไม่จัดก็ไม่เป็นไรหรอกมันก็มี,結婚式なんて、しなければしないで別に構わないという人もいる。,・「〜ば〜で」使って
ถ้าเป็นนายกรัฐมนตรีแล้วละก็ คำพูดและการกระทำแต่ละอย่างล้วนส่งผลกระทบอันใหญ่หลวง,総理大臣ともなると、その言動の一つ一つが大きな影響を与える。,『ともなると』を使って
ตรวจปมเชือกที่หลวมทุกจุดให้ดี แล้วผูกให้แน่นซะ,緩い結び目を全て点検してしっかりしめなさい。,
จ่ายเองยังพอว่านะ แต่นี่จะให้ผมจ่ายให้ทั้งหมดแล้วยังจะกินต่ออีกหรอ,自分で払うならまだしも、全部僕に払わせるのにまだ食べるつもり？,
ไม่สามารถฝืนกฎธรรมชาติได้,自然の法則には逆らえない。,
ถ้าไม่มีวัตถุดิบที่ดีก็ไม่มีอาหารที่อร่อย,良い材料あっての美味しい料理。,・『あっての』を使って
ฤดูโรคแพ้เกสรดอกไม้มาถึงแล้ว ทั้งอาการคันตาและน้ำมูกที่ไหลไม่หยุดนี่ทำอะไรไม่ได้เลยหรอ,花粉症の季節がやってきた。この目のかゆみと止まらない鼻水を何とかできないものか。,・「ものか」を使って
แม้จะเป็นผู้พิพากษาก็<u>ต้อง</u>มีบ้างที่ไม่สามารถควบคุมอารมณ์ได้,裁判官といえども感情を抑えきれないころもあるはずだ。,・『といえども』を使って
พอเห็นพ่อแม่ไม่ดุ ลูกเลยได้ใจถือโอกาสวิ่งแจ้นไปทั่วขบวนรถไฟ,親が叱らないのをいいことに、子どもは電車の中を走り回っている。,
สมาคมท่องเที่ยวมีแผนที่จะทำแคมเปญเพื่อผลักดันการท่องเที่ยวในฤดูหนาวของพื้นที่นั้น,観光協会はその地域の冬の観光を促進するためにキャンペーンを施行する予定である。,
ทนฟังคำพูดของนักการเมืองที่เอาแต่พูดข้ออ้างไม่ได้,言い訳ばかりしている政治家の話は聞くにたえない。,
เราจะติดต่อกับผู้ที่ตรงกับเกณฑ์ผ่านทางอีเมล,該当者にはメールで連絡します。,
ยานพาหนะที่ตรงกับเกณฑ์กรุณาเคลื่อนไปยังลานจอดรถ,該当車両は駐車場に移動してください。,
หลังจากบทความทางวิชาการได้รับการยอมรับจากนานาชาติ เขาก็ทุ่มเทให้กับงานวิจัยมากยิ่งขึ้นกว่าเมื่อก่อน,論文が国際的に評価されてから、彼は以前にもまして研究に打ち込んでいる。,・『にもまして』を使って
ทนดูผู้คนยากจนกำลังทรมานอย่างเงียบ ๆ ไม่ได้,貧困に苦しむ人々を黙って見てはいられなかったのです。,・過去形<br>・丁寧語
ไม่มีรถมันก็ไม่สะดวกนะ แต่ถึงจะมีก็ต้องจ่ายค่าบำรุงรักษาอีก เป็นเรื่องที่น่าลำบาก,車はないと不便だが、あったらあったで維持費がかかるから困ったものだ。,・「〜たで」を使って
อยากจะลาออกแต่ก็ลาไม่ได้,辞めるに辞められない。,
ติดเล่นเกินไปทำให้ไม่สนใจการเรียน,遊びに夢中で勉強が疎かになる。,
กำลังจะมีการเลือกตั้งในอีก 1 สัปดาห์หลังจากนี้ บรรดาผู้สื่อขาวจึงยุ่งกว่าปกติ,選挙を1週間後に控え、記者たちは普段にもまして忙しい。,・『にもまして』を使って
ต้องติดต่อหัวหน้าแผนก แต่ว่าเวลาขนาดนี้แล้วโทรไปก็คงไม่เหมาะสินะ,部長に連絡しなきゃいけないんだけど、時間が時間なだけに電話はまずいよね。,・『〜なだけに』を使って
เดินมานานจนเหนื่อยมาก,長く歩いたので疲れ果てた。,・『果て』を使って
เสียงรบกวนจากข้างห้อง ถ้านาน ๆ ทีก็ไม่เท่าไหร่ แต่ติดต่อแบบนี้นี่ยอมเขาเลย,隣の部屋の騒音、たまにならまだしも、こう続くとまいっちゃうよ。,
ถึงจะเป็นวัชพืช แต่ว่าแต่ละชนิดก็มีชื่อเฉพาะของมันเอง,雑草といえども、それぞれに名前がある。,・『といえども』を使って
ไหนจะเปียกฝน ไหนจะถูกเจ้านายดุ เป็นวันที่โชคร้ายจริง ๆ,雨にふられるわ、上司に叱られるわ、ついていない1日だった。,・『～わ～わ』を使って
ถูกล้วงกระเป๋าบนรถไฟ แต่จะว่าโชคดีก็ไม่ใช่ โชคร้ายก็ไม่เชิง เพราะข้างในมีเงินแค่ 100 เยนเอง,電車で財布を盗まれたんですが、運がよかったといおうか、悪かったといおうか、中に100円しか入っていなかったんです。,・「いおうか」を使って<br>・丁寧語
หากสูญเสียความไว้วางใจจากลูกค้าเพียงครั้งเดียวแล้ว คงจะเรียกคืนกลับมาได้ยาก,顧客からの信頼は一度失ったが最後、取り戻すことは難しいだろう。,・ลูกค้า - 顧客<br>・『が最後』を使って
