日本語,日本語の読み方,タイ語,Add Reverse
帰一算,きいちざん,บัญญัติไตรยางค์,y
あんかけ,,น้ำบนไข่ตุ๋น,y
いたち,,เพียงพอน,y
うずら,,นกกระทา,y
うたた寝,うたたね,การงีบหลับ การเผลอหลับ,y
うつ伏せに寝る,うつぶせにねる,นอนคว่ำ,y
うなじ,,หลังคอ ง่อน,y
えら,,เหงือก (ปลา),y
おしむ,,เสียดาย อาลัยอาวรณ์,y
おたま,,ที่ตักแกง ที่ตักซุป,y
おたまじゃくし,,ลูกอ๊อด,y
おっかない,,น่ากลัว,
お墨付き,おすみつき,ลายเซ็น การรับรอง เอกสารที่รับรองความถูกต้องแล้ว,y
お殿様,おとのさま,ขุนนาง ผู้ปกครองแคว้น,y
お節介を焼く,おせっかいをやく,จุ้นจ้านเรื่องของคนอื่น,y
お転婆,おてんば,ห้าว แก่น,y
お辞儀,おじぎ,การก้มแสดงความเคารพ,y
かたつむり,,หอยทาก,y
かりんとう,,ขนม (แป้งชุบน้ำตาลทอด),y
こぶみかん,,มะกรูด,y
こもる,,ปิดอยู่ กักอยู่ เก็บตัว,y
ご高説を賜る,ごこうせつをたまわる,ได้รับคำชม ยกย่อง,y
ざくろ,,ทับทิม,y
しゃがむ,,ย่อ นั่งยอง คุกเข่า,y
しゃもじ,,ป้ากตักข้าว,y
すっぽかす,<div><br></div>,ปล่อยทิ้งไว้ ละเลย ผิดนัดผิดสัญญา,y
すなわち,,กล่าวคือ,y
ずきずき,,อย่างเจ็บปวด,
せいぜい,,อย่างมากก็,y
せびる,,ขอ (เงิน),y
そこら中,そこらじゅう,มีทั่วทุกที่,y
たちまち,,แป๊ปเดียว ชั่วครู่ ทันทีทันใด,
たてがみ,,ขนหลังม้า,y
たんぱく質,たんぱくしつ,โปรตีน,y
つぎ込む,,ใช้(เงิน คน)ไปเป็นจำนวนมาก,y
つっぺ,,การเอาทิชชู่ยัดจมูก,y
つばめ,,นกนางแอ่น,y
つぶさに,,อย่างละเอียด,y
つまづく,,สะดุด,y
とんかち,,ค้อน (!k),y
どんぶらこ,,(ลูกท้อ)ไหลมาตามน้ำ,y
なぞらえる,,เปรียบเทียบ เลียนแบบ,
なにぶん,,อย่างไรก็ตาม,
ねじ回し,ねじまわし,ไขควง (ฮิรากานะ),y
のどちんこ,,ลิ้นไก่ (和),y
ふかふか,,นิ่มและหยุ่น,
ふくらはぎ,,น่อง,y
ふけ,,รังแค,y
ふすま,,ประตูกระดาษ (ไม่มีตาราง),y
ぷかぷか,,ลอย(อยู่กับที่),y
ほうき,,ไม้กวาด,y
ほうれい線,ほうれいせん,ร่องแก้ม,y
ぼやける,,เบลอ ไม่ชัด (!ブ),y
まき散らす,まきちらす,โปรย หว่าน พรม,y
まな板,まないた,เขียง,y
むせる,,สำลัก,y
めざましい,,โดดเด่น น่าทึ่ง,
もがく,,ดิ้นรน กระเสือกกระสน,y
もぐら,,ตัวตุ่น,y
もつれ,,การพันกัน วุ่น ยุ่งเหยิง,y
ものもらい,,ตากุ้งยิง (和語),y
アクセル,,คันเร่ง,y
アスペクト比,アスペクトひ,อัตราส่วนรูปภาพ,y
アライグマ,,แรคคูน,y
インターホン,,โทรศัพท์ประตูบ้าน,y
インチキ,,การหลอกลวง ต้มตุ๋น (カタカナ),y
ウィンカー,,ไฟเลี้ยว,y
エンドロール,,ฉากเครดิต,y
オジギソウ,,ต้นไมยราบ,y
オートマ,,เกียร์อัตโนมัติ,y
カチコミ,,ยกพวก (ไปรุมต่อย),y
カモメ,,นกนางนวล,y
カワウソ,,นาก,y
カーキー色,カーキーいろ,สีกากี,y
クラクション,,แตรรถ,y
クラゲ,,แมงกะพรุน,y
グリッター,,กากเพชร,y
コソ弁,コソべん,การแอบกินขณะเรียน,y
コンドル,,นกแร้ง,y
コンプレックス,,ปมด้อย,y
サイドミラー,,กระจกมองข้าง,y
サシ飲み,サシのみ,การดื่มกันสองต่อสอง,y
サムネイル,,ภาพย่อ ภาพตัวอย่าง,y
シャーペン,,ดินสอกด,y
シャー芯,シャーしん,ไส้ดินสอ,y
ジャッキ,,แม่แรง,y
ジュラ紀,ジュラき,ยุคจูราสสิก,y
ジレンマ,,การกลืนไม่เข้าคายไม่ออก ภาวะที่ยากจะตัดสินใจได้,y
スケバン,,หัวหน้าแก๊งที่เป็นผู้หญิง นักเลงผู้หญิง,y
スコップ,,จอบ เสียม（カタカナ）,y
スパナ,,ประแจ,y
スペクトル,,สเปกตรัม,y
タイマン,,ต่อยเดี่ยว หนึ่งต่อหนึ่ง,y
タライ,,กะละมัง,y
ダイジェスト,,การสรุปย่อ,
テコンドー,,เทควันโด,y
デフレ,,เงินฝืด,y
トイレブラシ,,แปรงขัดส้วม,y
トランジスタ,,ทรานซิสเตอร์,y
トランプ,,ไพ่,y
トリュフ,,เห็ดทรัฟเฟิล,y
ドアアイ,,ตาแมว (คาตาคานะ),y
ドア枠,ドアわく,วงกบประตู,y
ドライバー,,ไขควง (คาตาคานะ),y
ニュートラル,,เกียร์ว่าง,y
ニラ,,กุยช่าย,y
ネズミ講,ネズミこう,มิจฉาชีพลูกโซ่,y
ハシゴする,,ไปหลาย ๆ ร้าน,y
ハンドル,,พวงมาลัย,y
バックギア,,เกียร์ถอยหลัง,y
バックミラー,,กระจกมองหลัง,y
バッタ,,ตั๊กแตน,y
パヤパヤ,,หัวปุ้,y
パラボラアンテナ,,จานดาวเทียม,y
ヒスる,,อารมณ์แปรปรวน อาละวาด,y
ヒヒ,,ลิงบาบูน,y
ヒモ,,แมงดา (เกาะเมียกิน),y
ビーフン,,เส้นหมี่,y
ピンキリ,,ช่วงราคากว้าง,y
ピンセット,,แหนบ,y
ピータン,,ไข่เยี่ยวม้า,y
ファスナー,,ซิป,
フロントガラス,,กระจกหน้ารถ,y
ブレッドボード,,โพรโทบอร์ด,y
ヘドロ,,<div>โคลนตม</div>,y
ベルノキ,,มะตูม,y
ペンチ,,คีม คีมหนีบ,y
ペーパードライバー,,คนที่มีใบขับขี่แต่ไม่ขับรถ,y
ホイッスル,,นกหวีด,y
ポケベル,,เพจเจอร์ (カタカナ),y
マジックテープ,,ตีนตุ๊กแก,y
マツエク,,การต่อขนตา,y
マツパ,,การดัดขนตา,y
マルチ商法,マルチしょうほう,ทำธุรกิจแบบลูกโซ่,y
ミーハー,,คนที่ตามกระแส,y
ラバ,,ล่อ (สัตว์),y
ラバーカップ,,ที่ดูดส้วม,y
リップクリーム,,ลิปมัน,y
リューズ,,เม็ดมะยม (นาฬิกา),y
ルージュ,,ลิปสติก (คาตาคานะ),y
レントゲン,,เอ็กซ์เรย์,y
ワイパー,,ที่ปัดน้ำฝน,y
一世を風靡する,いちよをふうびする,มีอิทธิพลต่อผู้คนส่วนมาก,y
一喜一憂,いっきいちゆう,（四字熟語） เดี๋ยวดีใจเดี๋ยวเสียใจ อารมณ์ผันแปรไปตามสถานการณ์,y
一張羅,いっちょうら,ชุดตัวเอก เสื้อประจำตัว,y
一心不乱,いっしんふらん,（四字熟語） จิตใจจดจ่อแน่วแน่ไม่วอกแวก,y
一念発起,いちねんほっき,（四字熟語）มีความตั้งใจอย่างเต็มที่,y
一意,いちい,หนึ่งเดียว ไม่ซ้ำกัน,
一意専心,いちいせんしん,（四字熟語） น้ำหนึ่งใจเดียว สามัคคีคือพลัง,y
一日一善,いちにちいちぜん,（四字熟語）ทำความดีวันละครั้ง,y
一朝一夕,いっちょういっせき,（四字熟語）ข้ามคืน ชั่วระยะเวลาสั้น ๆ,y
一長一短,いっちょういったん,（四字熟語） มีทั้งด้านดีและด้านไม่ดี มีทั้งข้อดีและข้อเสีย,y
万事,ばんじ,ทุกเรื่อง ทุกอย่าง,
万国博覧会,ばんこくはくらんかい,การแสดงนิทรรศการนานาชาติ,y
三つ編み,みっつあみ,ผมเปีย,y
三角食べ,さんかくたべ,การรับประทานอาหารให้สมดุล (ข้าวกับกับพร้อม ๆ กัน),y
上告,じょうこく,การยื่นฎีกา,y
下請け,したうけ,การรับงานต่อจากคนอื่น การทำงานต่อจากคนอื่น,y
不信任決議,ふしんにんけつぎ,การอภิปรายไม่ไว้วางใจ,y
不均衡,ふきんこう,การขาดดุล,y
不憫,ふびん,น่าสงสาร น่าเวทนา,
不時着,ふじちゃく,การลงจอดฉุกเฉิน,y
不朽,ふきゅう,ไม่เสื่อมสลาย ยังคงอยู่,
不毛,ふもう,ไม่ได้ผล ไม่เกิดประโยชน์,
不測,ふそく,ไม่สามารถคาดการณ์ได้ ไม่คาดคิด ไม่คาดฝัน,y
不滅,ふめつ,ไม่เสื่อมสลาย,y
不祥事,ふしょうじ,เรื่องไม่พึงประสงค์ เรื่องที่ไม่เป็นมงคล,y
不謹慎,ふきんしん,ไม่มีความเกรงใจ ไม่รู้จักกาลเทศะ,y
不随,ふずい,อัมพาต,y
与する,くみする,เข้าร่วม เข้าเป็นพวก,y
与党,よとう,พรรคร่วมรัฐบาล,y
世界保健機関,せかいほけんきかん,องค์การอนามัยโลก,y
世論,よろん,ประชาพิจารณ์,y
両生類,りょうせいるい,สัตว์ครึ่งบกครึ่งน้ำ,y
中性子,ちゅうせいし,นิวตรอน,y
中枢,ちゅうすう,นิวเคลียส ส่วนกลาง,y
中毒,ちゅうどく,ติด~ เสพติด,y
中肉中背,ちゅうにくちゅうぜい,（四字熟語）  รูปร่างและส่วนสูงอยู่ในมาตรฐานทั่วไป,y
丸括弧,まるかっこ,วงเล็บธรรมดา,y
主催者,しゅさいしゃ,เจ้าภาพ โฮสต์(งาน),y
主従,しゅじゅう,นายและบ่าว เจ้านายและลูกน้อง,y
主旨,しゅし,วัตถุประสงค์ เป้าหมาย,
主権,しゅけん,อำนาจอธิปไตย,y
乖離,かいり,แปลก แตกแยก,
乙女座,おとめざ,ราศีกันย์,y
乞食,こじき,ขอทาน (๒),y
亀甲,きっこう,กระดองเต่า,y
亀甲括弧,きっこうかっこ,วงเล็บกระดองเต่า,y
事勿れ主義,ことなかれしゅぎ,หลักปลอดภัยไว้ก่อน ท่าที่ที่หลีกเลี่ยงความขัดแย้งหรือการปะทะ,y
事柄,ことがら,เรื่องราว,
事項,じこう,หัวข้อ,
二の次,にのつぎ,เรื่องไม่สำคัญ ลำดับที่สอง,
二律背反,にりつはいはん,（四字熟語） ขัดแย้งกันเอง เรื่องที่ขัดแย้งกัน,y
二酸化炭素,にさんかたんそ,คาร์บอนไดออกไซด์,y
互恵,ごけい,ซึ่งกันและกัน ความสัมพันธ์ที่เป็นพันธมิตรระหว่างประเทศ,y
些細,ささい,เล็กน้อย ไม่สำคัญ,y
亜鉛,あえん,สังกะสี,y
交錯,こうさく,ซับซ้อน ผสมปนเป,
享受,きょうじゅ,การรับเอา การเพลิดเพลินกับสิ่งนั้น ๆ,
人権侵害,じんけんしんがい,การละเมิดสิทธิมนุษยชน,y
人狼,じんろう,มนุษย์หมาป่า,y
人生を謳歌する,じんせいをおうかする,มีความสุขกับชีวิต,y
人相学,にんそうがく,การดูโหงวเฮ้งของใบหน้า,y
人見知り,ひとみしり,การเข้ากับคนแปลกหน้าได้ยาก,y
人質,ひとじち,ตัวประกัน,y
仁王立ち,におうだち,ยืนข่ม ยืนเท้าสะเอว,y
仁義,じんぎ,คุณธรรม ศีลธรรม,y
仄めかす,ほのめかす,พูดเป็นนัย,y
他方,たほう,อีกฝ่าย อีกด้าน,
付き纏う,つきまとう,ตามติด ตามรังควาญ,y
付属,ふぞく,ในสังกัด ในการควบคุม,y
付録,ふろく,ภาคผนวก ของแถม,y
以心伝心,いしんでんしん,（四字熟語） ใช้ใจสื่อถึงกัน,y
仰ぐ,あおぐ,เคารพ,
仰向けに寝る,あおむけにねる,นอนหงาย,y
仲介,ちゅうかい,คนกลาง ตัวกลาง,y
任意同行,にんいどうこう,การเรียกมาสอบปากคำ,y
伏せる,ふせる,หมอบ(ไพ่),y
会心,かいしん,ได้ตามใจหวัง สมดังใจหวัง,y
会話が弾む,かいわがはずむ,พูดคุยกันอย่างเพลิดเพลิน,y
伝導体,でんどうたい,ตัวนำ(ไฟฟ้า/ความร้อน),y
伝搬,でんぱん,การถ่ายทอด การกระจาย การส่งสัญญาณ,y
低俗,ていぞく,ชั้นต่ำ ต่ำทราม สถุล (!h),y
低迷,ていめい,การตกต่ำ,y
体積,たいせき,ปริมาตร,y
体系,たいけい,ระบบ,
体裁,ていさい,รูปลักษณ์ภายนอก หน้าตาในสังคม,y
併合,へいごう,การรวมบริษัท การยึดดินแดนของประเทศ,y
供述,きょうじゅつ,การให้ปากคำ,y
侮辱,ぶじょく,การลบหลู่ดูหมิ่น การทำให้เสียเกียรติ,y
便秘,べんぴ,ท้องผูก,y
促す,うながす,กระตุ้น เสนอแนะ บีบให้กระทำ,y
促進,そくしん,การสนับสนุน ส่งเสริม ผลักดัน (!推),y
保留,ほりゅう,พักสาย รอสาย,y
保護,ほご,การอนุรักษ์ การรักษา การคุ้มครอง,y
信仰,しんこう,ความศรัทธา การเคารพบูชา,y
信楽焼き,しがらきやき,เครื่องเผา (รูปปั้นทานูกิ),y
信託,しんたく,การเชื่อใจให้จัดการทรัพย์สินให้,y
修める,おさめる,เล่าเรียน ฝึกฝน ขัดเกลาตนเอง ปรับปรุงตัว,y
修験道,しゅげんどう,ธุดงค์,y
俯瞰,ふかん,การมองลงไปจากที่สูง,y
俵,たわら,กระสอบ,y
値渡し,あたいわたし,(en: passed by value),y
倦怠感,けんたいかん,อาการอ่อนแรง,y
偏見,へんけん,ลำเอียง อคติ,y
健全,けんぜん,แข็งแรง สมบูรณ์,
健闘,けんとう,การต่อสู้อย่างเต็มกำลังและความสามารถ,y
偵察,ていさつ,สายลับ สอดแนม,y
傍受,ぼうじゅ,การดักฟังสัญญาณ,y
傑作,けっさく,ผลงานชิ้นเอก,y
傘寿,さんじゅ,การฉลองอายุ 80 ปี,y
傲慢,ごうまん,หยิ่ง,y
儚い,はかない,ไร้สาระ,
元素,げんそ,ธาตุ,y
元素記号,げんそきごう,สัญลักษณ์ธาตุ,y
兆し,きざし,ลางสังหรณ์,y
兆候,ちょうこう,แนวโน้ม ลาง แวว สัญญาณ（漢字）,y
先駆け,さきがけ,การล่วงหน้าไป การล้ำหน้า การเลยไป,y
光合成,こうごうせい,การสังเคราะห์ด้วยแสง,y
光子,こうし,โฟตอน,y
全盛,ぜんせい,ช่วงพีค ช่วงถึงขีดสุด,y
公にする,おおやけにする,เปิดเผย ประกาศให้ทราบโดยทั่วกัน,y
公平無私,こうへいむし,（四字熟語） อุเบกขา ความเป็นกลาง ความยุติธรรมไม่ลำเอียง,y
公明正大,こうめいせいだい,（四字熟語） ยุติธรรม โปร่งใส ไม่มีอะไรแอบแฝง,y
公金横領,こうきんおうりょう,ฉ้อราษฎร์บังหลวง,y
共存共栄,きょうぞんきょうえい,（四字熟語） การพึ่งพาอาศัยกัน การเจริญเติบโตไปด้วยกัน,y
典型的,てんけいてき,อย่างเป็นแบบแผน อย่างเป็นมาตรฐาน,y
内訳,うちわけ,การแจกแจงบัญชี การแจกแจงรายการ,y
円卓,えんたく,โต๊ะกลม,y
円満,えんまん,ความปรองดอง เป็นไปด้วยดี,y
再三,さいさん,ครั้งแล้วครั้งเล่า,y
再起不能,さいきふのう,（四字熟語）ไม่สามารถฟื้นตัวได้ ไม่สามารถกลับมาได้,y
冒涜,ぼうとく,การลบหลู่ (สิ่งศักดิ์สิทธิ์),y
冒頭,ぼうとう,ตอนเริ่ม ตอนต้น คำนำ ด้านหัว ด้านบน,
冥王星,めいおうせい,ดาวพลูโต,y
冴える,さえる,สุกสกาว หายง่วง แจ่มใส ฉายแวว,
冷めならぬ,さめならぬ,อารมณ์ค้าง หนังจบคนไม่จบ,
冷却,れいきゃく,การแช่เย็น การทำความเย็น,y
凌ぐ,しのぐ,อดทน ฝ่าฟัน,y
凝る,こる,แข็ง ยึด ตรึง เกร็ง,y
凝視,ぎょうし,การจับตาดู การจ้องมองดู,
几帳面,きちょうめん,พิถีพิถัน ละเอียดถี่ถ้วน เจ้าระเบียบ,y
凡例,はんれい,คำอธิบาย คำนำ (!z),y
凧,たこ,ว่าว,y
凧を揚げる,たこをあげる,ชักว่าว(ขึ้นท้องฟ้า),y
出る杭は打たれる,でるくいはうたれる,อย่าทำตัวเด่นจะเป็นภัย,y
出会い頭,であいがしら,ตัดหน้า,y
出処進退,しゅっしょしんたい,（四字熟語） การตัดสินใจว่าจะไปต่อหรือพอแค่นี้,y
出納,すいとう,การรับและจ่ายเงิน,
出資,しゅっし,การลงทุน,
出馬,しゅつば,การสมัครรับเลือกตั้ง,y
分かち合う,わかちあう,แบ่งปันกัน,
分子,ぶんし,เศษของเศษส่วน โมเลกุล,y
分岐器,ぶんきき,ประแจ (รถไฟ),y
分数,ぶんすう,เศษส่วน,y
分母,ぶんぼ,ส่วนของเศษส่วน,y
切磋琢磨,せっさたくま,พัฒนาศักยภาพ ขัดเกลาคุณภาพชีวิต,y
刑事裁判所,けいじさいばんしょ,ศาลอาญา,y
列挙型,れっきょがた,อีนูเมอเรชัน,y
利己,りこ,ผลประโยชน์ส่วนตัว ความเห็นส่วนตัว,
利息,りそく,ดอกเบี้ย (จากการกู้เงิน),y
利益,りえき,กำไร ผลประโยชน์ (!s),y
制御,せいぎょ,การควบคุม การจัดการ,
制裁,せいさい,การลงโทษ,
刺股,さすまた,ไม้ยาว ๆ มีง่ามโค้งตรงปลายสำหรับล็อกคน,y
前立腺,ぜんりつせん,ต่อมลูกหมาก,y
剣山,けんざん,แปรงหนามสำหรับช่วยจัดดอกไม้,
剥奪,はくだつ,การตัดสิทธิ การลิดรอน การปลดจากตำแหน่ง,y
割愛,かつあい,ตัดใจ,y
創刊号,そうかんごう,(หนังสือ/นิตยสาร) เล่มแรก เล่มเปิดตัว เล่มปฐมฤกษ์,y
創意,そうい,ความคิดสร้างสรรค์,y
創意工夫,そういくふう,（四字熟語） การหาวิธี การใช้ความคิดสร้างสรรค์ในการประยุกต์,y
創設,そうせつ,สถาปนา,y
功罪,こうざい,คุณและโทษ,
劣る,おとる,ด้อย สู้ไม่ได้,y
劣等,れっとう,ด้อยกว่า สู้ไม่ได้,y
劣等感,れっとうかん,ปมด้อย,
助成金,じょせいきん,เงินช่วยเหลือ,y
助演,じょえん,ตัวประกอบ (การแสดง) (漢字),y
助言,じょげん,ให้คำปรึกษา แนะนำ,
努める,つとめる,พยายาม,
労う,ねぎらう,แสดงความขอบคุณในความเหนื่อยยาก,y
動機,どうき,เหตุจูงใจ,y
勤勉,きんべん,ขยัน ความอุตสาหะ,y
勾配,こうばい,ความชัน ความลาดเอียง,y
包囲,ほうい,การล้อม การเข้าไปล้อม,y
包括,ほうかつ,ครอบคลุมทั้งหมด,
包装,ほうそう,การห่อ การบรรจุผลิตภัณฑ์,y
匍匐前進,ほふくぜんしん,การคลานไปข้างหน้า,y
医食同源,いしょくどうげん,（四字熟語） แนวความคิดการสร้างสมดุลระหว่างสุขภาพและการรับประทานอาหาร,y
匿名,とくめい,นิรนาม นามแฝง,y
千載一遇,せんざいいちぐう,（四字熟語）ร้อยวันพันปี นานทีปีหน,y
千鳥足,ちどりあし,การเดินเซ,Y
升,ます,<div>ถ้วยไม้รูปสี่เหลี่ยม<br></div>,y
半導体,はんどうたい,สารกึ่งตัวนำ,y
半月板,はんげつばん,หมอนรองกระดูก,y
卑劣,ひれつ,ต่ำช้า,y
卑猥,ひわい,ชั้นต่ำ สกปรก,
卒なく,そつなく,อย่างไม่มีตำหนิ ไม่ด่างพร้อย แม่นยำ,
協調,きょうちょう,การประนีประนอม,y
南京錠,なんきんじょう,แม่กุญแจตัวยู,y
単刀直入,たんとうちょくにゅう,(四字熟語) การเข้าประเด็น ไม่ต้องอ้อมค้อม,y
単純明快,たんじゅんめいかい,（四字熟語）เข้าใจง่าย เรียบง่าย,y
博打,ばくち,การเล่นพนัน,y
博打こき,ばくちこき,นักพนัน มือพนัน,y
博覧強記,はくらんきょうき,（四字熟語） ความรู้ความอ่านเป็นเลิศ,y
占める,しめる,ยึดครอง กินเนื้อที่,y
占有,せんゆう,การถือครอง การครอบครอง (อาจไม่ได้เป็นเจ้าของ),y
危急存亡,ききゅうそんぼう,（四字熟語） เรื่องเสี่ยง คอขาดบาดตาย,y
危機一髪,ききいっぱつ,（四字熟語） เส้นยาแดงผ่าแปด,y
即座,そくざ,ทันที ตรงนั้นเลย เดี๋ยวนั้นเลย,
原付き,げんつき,รถจักรยานยนต์ (和語),y
原始人,げんしじん,ผู้บุกเบิก,y
原子,げんし,อะตอม,y
原子核,げんしかく,นิวเคลียส,y
原稿,げんこう,ต้นฉบับ โพยสคริปต์บทพูด,y
厨房,ちゅうぼう,ครัว (ち),y
厳密,げんみつ,ละเอียดละออ เคร่งครัด,
参照渡し,さんしょうわたし,(en: passed by reference),y
双子座,ふたござ,ราศีเมถุน,y
反比例,はんひれい,แปรผกผัน,y
収める,おさめる,ได้รับ เก็บ บรรจุ,
収容所,しゅうようじょ,ค่ายกักกัน,y
取っ手,とって,ด้ามจับ ที่จับ,y
取り巻き,とりまき,บริวาร ผู้ติดตาม,y
取り締まる,とりしまる,ควบคุม ดูแล สอดส่อง ตรวจตรา,y
取引履歴,とりひきりれき,ประวัติการทำธุรธรรม,y
取捨,しゅしゃ,การคัดเลือก,y
口実,こうじつ,ข้ออ้าง ข้อแก้ตัว,
口紅,くちべに,ลิปสติก (漢字),y
口蓋,こうがい,เพดานปาก,y
口蓋垂,こうがいすい,ลิ้นไก่ (漢字),y
口車に乗せる,くちぐるまにのせる,หลอกล่อให้หลงเชื่อ,y
古典,こてん,เป็นธรรมเนียมปฏิบัติ วรรณคดี ศิลปะโบราณ เก่าแก่,
古希,こき,การฉลองอายุ 70 ปี,y
句読点,くとうてん,จุดแบ่งวรรคตอน,y
可逆圧縮,かぎゃくあっしゅく,(en: lossless compression),y
台形,だいけい,สี่เหลี่ยมคางหมู,y
台無し,だいなし,พัง ล้มไม่เป็นท่า,
叱責,しっせき,ตำหนิ,
司書,ししょ,บรรณารักษ์,y
司法権,しほうけん,อำนาจตุลาการ,y
吃音,きつおん,การพูดติดอ่าง,y
同工異曲,どうこういきょく,（四字熟語） ภายในเหมือนกันแต่ภายนอกต่างกัน,y
同胞,どうほう,เพื่อนร่วมชาติ เพื่อนร่วมเผ่าพันธุ์ พี่น้องในสายเลือด,y
名目,めいもく,ชื่อเรียก ข้ออ้างที่ยกมาบังหน้า,y
名誉毀損,めいよきそん,การทำให้เสียชื่อเสียง,y
吟じる,ぎんじる,ขับกลอน ร้อง,y
否めない,いなめない,หลีกเลี่ยงไม่ได้ ปฏิเสธไม่ได้,y
呆れる,あきれる,งงจนทำอะไรไม่ถูก พูดไม่ออก,y
