日本語,日本語の読み方,タイ語,Add Reverse
呆気に取られる,あっけにとられる,ตกตะลึง,
呈する,ていする,ถวาย แสดง,
呉越同舟,ごえつどうしゅう,（四字熟語） ศัตรูขึ้นเรือลำเดียวกัน,y
呼応,こおう,การขานรับ การทำงานประสานกัน,y
咀嚼,そしゃく,การเคี้ยว,y
咆哮,ほうこう,การคำราม,y
咎める,とがめる,ตำหนิติเตียน ถามแบบตั้งแง่ ถามแบบสงสัย,y
咳払い,せきばらい,กระแอม,y
唸る,うなる,โหยหวน หอน (動詞),y
商売,しょうばい,การค้าขาย,
問答無用,もんどうむよう,（四字熟語）เถียงไปก็เท่านั้น,y
善意,ぜんい,ความปรารถนาดี จิตใจที่เอื้ออาธร,y
喘ぐ,あえぐ,คราง หายใจหอบ,y
喚く,わめく,โหวกเหวก โวยวาย ตะโกนเสียงดัง,y
喜寿,きじゅ,การฉลองอายุ 77 ปี,y
喜怒哀楽,きどあいらく,（四字熟語）อารมณ์ทั้งหลายของมนุษย์,y
喜色満面,きしょくまんめん,ใบหน้าที่เปี่ยมสุข,y
喧騒,けんそう,เสียงอึกทึก,y
喩える,たとえる,อุปมาให้เห็นภาพ,y
営む,いとなむ,ทำธุรกิจ บริหารธุรกิจ (訓読み),y
嗅覚,きゅうかく,การรับกลิ่น,y
嗚咽,おえつ,การร้องไห้สะอึกสะอื้น,y
嗜む,たしなむ,ชิม ลิ้มรส (!あ),y
嘆く,なげく,คร่ำครวญ โศกเศร้า ถอนหายใจ,y
嘔吐,おうと,อ้วก (漢字2文字),y
嘲笑,ちょうしょう,การหัวเราะเยาะ,y
嘶く,いななく,(ม้า)ร้อง,y
囚人,しゅうじん,นักโทษ,y
四六時中,しろくじちゅう,（四字熟語）ตลอดวันเวลา,y
四季折々,しきおりおり,ตามแต่ฤดูกาล,y
四方八方,しほうはっぽう,（四字熟語） ทุกทิศทุกทาง ทั่วทุกสารทิศ,y
四面楚歌,しめんそか,การถูกศัตรูล้อมทั้งสี่ด้าน,y
因む,ちなむ,เกี่ยวพัน เกี่ยวข้อง (～む),y
因数分解,いんすうぶんかい,การแยกตัวประกอบ,y
因果,いんが,สาเหตุและผล ผลกรรม,y
囮,おとり,นกต่อ ตัวล่อ ตัวหลอก,y
図星,ずぼし,การทายถูก ตรงตามที่คิด,y
固執,こしつ,การยืนกราน การยืนหยัดยึดมั่นในความคิด,y
国連,こくれん,องค์การสหประชาชาติ,y
国連民間高等弁務官事務所,こくれんみんかんこうとうべんむかんじむしょ,สำนักงานข้าหลวงใหญ่ผู้ลี้ภัยแห่งสหประชาชาติ (UNHCR),y
土俵,どひょう,เวทีเล่นซูโม่,y
土砂降り,どしゃぶり,ฝนตกหนักมาก,
圧政,あっせい,ทรราชย์ การปกครองโดยการกดขี่,y
地中海,ちちゅうかい,ทะเลเมดิเตอร์เรเนียน,y
地団駄を踏む,じだんだをふむ,กระทืบเท้า,y
地毛,じげ,ขนจริง ผมจริง,y
均一,きんいつ,เท่ากัน เสมอกัน,
垂れる,たれる,ห้อย ย้อย ย้วย,y
垂直,すいちょく,ตั้งฉาก แนวดิ่ง,y
垣間見える,かいまみえる,รู้ลึก เห็นถึงนิสัยใจคอ รู้ธาตุแท้,y
執筆,しっぴつ,การเขียน,y
執行猶予,しっこうゆうよ,รอลงอาญา,y
基幹,きかん,แกนกลาง เป็นหลัก (二文字),y
堅実,けんじつ,มั่นคง หนักแน่น,y
堤防,ていぼう,ทำนบกั้นน้ำ ตลิ่ง คันดิน,y
報う,むくう,ตอบแทน,
報道官,ほうどうかん,โฆษก,y
塒,とぐろ,การขดตัวเป็นวงกลม,y
塞ぐ,ふさぐ,ปิด (ปิดปาก ปิดจมูก ปิดฝา),y
境目,さかいめ,เส้นแบ่งขอบเขต,y
増刊号,ぞうかんごう,นิตยสารฉบับพิเศษ,y
売れ行き,うれゆき,ยอดขาย,
変温動物,へんおんどうぶつ,สัตว์เลือดเย็น,y
変貌,へんぼう,การเปลี่ยนโฉมหน้า การเปลี่ยนรูปลักษณ์,y
外交政策,がいこうせいさく,นโยบายทางการทูต,y
外科医,げかい,ศัลยแพทย์,y
多事多難,たじたなん,（四字熟語） มากเรื่องมากความ ยุ่งยาก,y
夜通し,よどおし,ทั้งคืน,
大らか,おおらか,ใจกว้าง คนง่าย ๆ,
大同小異,だいどうしょうい,（四字熟語） โดยรวมแล้วก็เหมือนกันแต่ต่างกันแค่รายละเอียดเล็ก ๆ,y
大器晩成,たいきばんせい,（四字熟語） ช้า ๆ ได้พร้าเล่มงาม,y
大御所,おおごしょ,ผู้ยิ่งใหญ่ในวงการ,y
大木,たいぼく,ต้นไม้ใหญ่,y
大胆,だいたん,ความกล้าหาญ,
大腸,だいちょう,ลำไส้ใหญ่,y
大衆,だいしゅう,สาธารณะ,
大鋸屑,おがくず,ขี้เลื่อย,y
大願成就,たいがんじょうじゅ,（四字熟語） คำอธิษฐานที่สัมฤทธิ์ผล,y
大黒柱,だいこくばしら,เสาหลักของครอบครัว,y
天下り,あまくだり,รัฐมนตรีออกจากราชการไปทำงานเอกชน เทพอวตารมาเกิด,y
天下太平／天下泰平,てんかたいへい／てんかたいへい,（四字熟語） ความสงบสุขที่มีในประเทศ,y
天地創造,てんちそうぞう,การสร้างโลกและจักรวาล,y
天変地異,てんぺんちい,（四字熟語） สภาพผิดปกติที่เกิดขึ้นของภัยธรรมชาติ,y
天守閣,てんしゅかく,ป้อมปราการในปราสาท,y
天引き,てんびき,การหักภาษี ณ ที่จ่าย,y
天然痘,てんねんとう,ฝีดาษ,y
天王星,てんのうせい,ดาวยูเรนัส,y
天秤座,てんびんざ,ราศีตุลย์,y
天道虫,てんとうむし,แมลงเต่าทอง,y
失態,しったい,การทำผิดพลาด ความผิดพลาด เสื่อมเสีย,
失敗をしでかす,しっぱいをしでかす,ทำผิดพลาด ทำพลาด,y
失神する,しっしんする,เป็นลม สลบ,
奉納,ほうのう,การถวายเป็นเครื่องสักการะบูชา,y
奮い立つ,ふるいたつ,คึกคัก ร่าเริง ฮึกเหิม,y
女王蜂,じょおうばち,นางพญาผึ้ง,y
好奇心,こうきしん,ความอยากรู้อยากเห็น จิตที่ใฝ่รู้,
妥協,だきょう,ยอมพบกันครึ่งทาง อะลุ่มอล่วย,y
妥当,だとう,เหมาะสม,
妨げる,さまたげる,ขัดขวาง กีดกั้น,
妬む,ねたむ,อิจฉา ชิงชัง,
妻子,さいし,ภรรยาและลูก,y
姪,めい,หลานสาว,y
威嚇,いかく,การข่มขวัญ,y
威張る,いばる,หยิ่งยโส ทนงตัว เบ่ง,
婦警,ふけい,ตำรวจหญิง,y
媒介,ばいかい,การเป็นพาหะ การเป็นตัวกลาง,y
媚びる,こびる,ยั่วยวน ประจบประแจง (和語),y
媚薬,びやく,ยาเสน่ห์ ยากระตุ้น,y
嫌悪,けんお,ความเกลียดชัง ความขยะแขยง,
子宮,しきゅう,มดลูก,y
孔雀,くじゃく,นกยูง,y
字下げ,じさげ,ย่อหน้า (tab),y
存命,ぞんめい,การมีชีวิตอยู่,
孤軍奮闘,こぐんふんとう,（四字熟語） การต่อสู้โดยลำพังโดยไม่มีใครช่วย,y
守備,しゅび,การป้องกัน,
安楽死,あんらくし,การุณยฆาต,
安物買いの銭失い,やすものかいのぜにうしない,(สำนวน) เสียน้อยเสียยาก เสียมากเสียง่าย,y
宙返り,ちゅうがえり,การตีลังกากลางอากาศ,y
定規,じょうぎ,ไม้บรรทัด (ไม่มี padding),y
実況見分,じっきょうけんぶん,แผนประกอบคำรับสารภาพ,y
実践,じっせん,การปฏิบัติจริง การนำทฤษฎีมาใช้ในทางปฏิบัติ,y
宮殿,きゅうでん,พระราชวัง,y
害虫駆除,がいちゅうくじょ,การกำจัดแมลงศัตรูพืช,y
宴会,えんかい,งานเลี้ยง ปาร์ตี้,y
家来,けらい,ข้าทาส ลูกน้อง สมุน,y
家畜,かちく,ปศุสัตว์,y
家臣,かしん,ข้ารับใช้,
家計,かけい,ค่าใช้จ่ายภายในครอบครัว,y
宿直,しゅくちょく,เวรกลางคืน,y
密命,みつめい,คำสั่งภายใน คำสั่งลับ,y
富貴,ふうき,คนที่ร่ำรวยและมีสถานภาพทางสังคมสูง,y
寛ぐ,くつろぐ,ทำตัวตามสบาย,y
寛大,かんだい,ใจกว้าง มีน้ำใจ,
寛容,かんよう,ไม่เคร่งครัด,y
寝相,ねぞう,ท่านอน,y
寸足らず,すんたらず,สั้นเกินไปหน่อย,y
対数目盛,たいすうめもり,สเกลลอการิธึม,y
対照的,たいしょうてき,เชิงเปรียบเทียบ,
専有,せんゆう,การเป็นเจ้าของ,y
射手座,いてざ,ราศีธนู,y
射程,しゃてい,พิกัดการยิง ขอบเขตอำนาจ,y
尊い,とうとい,สูงศักดิ์ ล้ำค่า,y
尊ぶ,とうとぶ,เคารพ นับถือ เทิดทูน ยกย่อง (!う),y
導火線,どうかせん,สายชนวน ชนวนก่อเหตุ,y
小惑星,しょうわくせい,ดาวเคราะห์น้อย,y
小数点,しょうすうてん,จุดทศนิยม,y
小腸,しょうちょう,ลำไส้เล็ก,y
尚更,なおさら,ยิ่งขึ้น ยิ่งกว่านั้น,
就航,しゅうこう,การบินของเครื่องบินประจำเส้นทางตามปกติ,y
尺取虫,しゃくとりむし,หนอนคืบ,y
屁理屈,へりくつ,คนที่พยายามเอาชนะด้วยตรรกะเหตุผลของตัวเอง,y
居間,いま,ห้องนั่งเล่น,
屈む,かがむ,นั่งยอง,y
屈折,くっせつ,การหักเห (ของคลื่น/แสง),y
屈指,くっし,โดดเด่น แนวหน้า,
属性,ぞくせい,แอททริบิวต์,y
屯する,たむろする,รวมตัว สุมหัว,y
山括弧,やまかっこ,วงเล็บมุมเหลี่ยม ＜＞,y
山羊座,やぎざ,ราศีมังกร,y
岐路,きろ,ทางแยก,
峠,とうげ,สันเขา จุดที่สูงที่สุด จุดพีค,y
島流し,しまながし,ย้ายตำแหน่งไปแผนกหรือสาขาที่ห่างไกล,y
嵩張る,かさばる,ใหญ่ เทอะทะ,y
巣窟,そうくつ,รังโจร,y
工夫,くふう,การประยุกต์ดัดแปลง,y
左遷,させん,ย้ายตำแหน่งไปต่ำกว่า,y
巧み,たくみ,ความฉลาด,
差し押さえる,さしおさえる,อายัด,y
巷,ちまた,กลางเมือง จุดเกิดเหตุ,
巻き尺,まきじゃく,ตลับเมตร,y
巻末,かんまつ,ตอนจบของหนังสือ ตอนท้ายของหนังสือ,y
巻頭,かんとう,ช่วงเริ่มของหนังสือ บทกลอน,y
市庁舎,しちょうしゃ,อาคารเทศบาลเมือง,y
市松模様,いちまつもよう,ลายตารางหมากรุก,y
希釈,きしゃく,การเจือจาง,y
帝王切開,ていおうせっかい,การผ่าคลอด,y
帰化,きか,การเปลี่ยนสัญชาติ การย้ายสัญชาติ,y
帰国子女,きこくしじょ,คนที่เดินทางกลับประเทศของตน,y
幕末,ばくまつ,ช่วงปลายของยุครัฐบาลโชกุน,y
干拓,かんたく,การถมดินเพื่อนำมาใช้ประโยชน์,y
干支,えと,ปีนักษัตร,y
干渉,かんしょう,การแทรกสอด การแทรกแซง การรบกวน (ของคลื่นสัญญาณ),y
平々凡々,へいへいぼんぼん,ธรรมด๊าธรรมดา สามัญ,y
平行四辺形,へいこうしへんけい,สี่เหลี่ยมด้านขนาน,y
年功序列,ねんこうじょれつ,ระบบการกำหนดค่าจ้างและตำแหน่งตามอาวุโส,y
幹,みき,ลำต้น แกน,y
幼年期,ようねんき,วัยทารก วัยเด็ก,y
幾何学,きかがく,เรขาคณิต,y
庇う,かばう,เถียงแทน โต้แย้งแทน ปกป้อง,y
序文,じょぶん,คำนำ (!h),y
度胸,どきょう,กล้าหาญ (!か),y
庶民,しょみん,ชาวบ้าน ประชาชน,
廃れる,すたれる,เลิกใช้ ล้าสมัย เสื่อม,y
廃墟,はいきょ,ซากอาคาร บ้านร้าง,y
弁える,わきまえる,ใช้วิจารณญาณแยกแยะได้อย่างถูกต้อง รู้ผิดรู้ถูก,y
弁解,べんかい,การแก้ตัว การชี้แจง,y
弄ぶ,もてあそぶ,เห็นเป็นของเล่น เล่นเป็นของเล่น,y
引き裂く,ひきさく,ฉีก ทำให้แยกทางกัน,y
弥勒菩薩,みろくぼさつ,พระศรีอริยเมตไตรย,y
強行,きょうこう,การฝืนทำ การบังคับ,
強行採決,きょうこうさいけつ,การฝืนลงคะแนนตัดสิน,y
強調,きょうちょう,เน้น,y
強迫性障害,きょうはくせいしょうがい,โรคย้ำคิดย้ำทำ (OCD),y
弾幕,だんまく,ยิงสาดกระสุน,y
彗星,すいせい,ดาวหาง,y
形見,かたみ,ของดูต่างหน้า,y
彩る,いろどる,แต่งเติมสีสัน,y
往時,おうじ,สมัยโบราณ อดีต,
待ち構える,まちかまえる,เตรียมรอ เฝ้ารอ,
待ち針,まちばり,เข็มหมุด,y
待遇,たいぐう,การต้อนรับแขก การได้รับการปฏิบัติ,
律する,りっする,กำหนด ปฏิบัติ,
後ろ盾,うしろだて,ผู้สนับสนุน ผู้หนุนหลัง,y
徐に,おもむろに,จู่ ๆ ก็ อยู่ดี ๆ ก็,
徐行,じょこう,การชะลอรถ,y
徒競走,ときょうそう,การวิ่งแข่ง,y
従来,じゅうらい,จากอดีตถึงปัจจุบัน,y
従順,じゅうじゅん,ว่าง่าย ที่เชื่อฟัง,
御用になる,ごようになる,โดนจับ (!捕),y
復号化,ふくごうか,การถอดรหัส,y
復興,ふっこう,การกลับมารุ่งเรือง การฟื้นฟูบูรณะ,
徹底,てってい,การทำถึงที่สุด การทำอย่างเต็มที่,y
心ここにあらず,こころここにあらず,ใจไม่อยู่กับเนื้อกับตัว,y
心技体,しんぎたい,ความพร้อมในการแข่งขันทั้งด้านร่างกาย เทคนิค และจิตใจ,y
心機一転,しんきいってん,(四字熟語) การกลับใจ การเริ่มต้นใหม่,y
志,こころざし,ความตั้งใจ ความมุ่งมั่น ความปรารถนา,y
志向,しこう,ตั้งใจ เจตนา จงใจ,
応急処置,おうきゅうしょち,การปฐมพยาบาลเบื้องต้น,y
忠告する,ちゅうこくする,ให้คำปรึกษา แนะนำ,
忠実,ちゅうじつ,ซื่อสัตย์ ซื่อตรง จริงจัง ตามความเป็นจริง,
忠誠,ちゅうせい,ความซื่อสัตย์,
快い,こころよい,สบายใจ สนุกสนาน พอใจ ยินดี,
念頭,ねんとう,ในใจ ในความคิด,
怠ける,なまける,ทำตัวขี้เกียจ นั่ง ๆ นอน ๆ ไม่ทำอะไร,y
怠る,おこたる,ไม่สนใจ ไม่เอาใจใส่,y
怯える,おびえる,ตื่นตระหนก ตกใจกลัว,y
恒例,こうれい,เหมือนทุกครั้ง เหมือนที่เคยผ่านมา สิ่งที่ทำติดต่อกันมาจนเป็นประเพณี,y
恒温動物,こうおんどうぶつ,สัตว์เลือดอุ่น,y
恥じらい,はじらい,ขี้อาย,y
恩恵,おんけい,ความกรุณา พระคุณ,
恩赦,おんしゃ,การอภัยโทษ,y
息継ぎ,いきつぎ,การหายใจระหว่างร้องเพลงหรือเป่าเครื่องดนตรี,y
悟る,さとる,บรรลุแจ้ง ตระหนัก เข้าใจ,y
情勢,じょうせい,สถานการณ์ปัจจุบัน,y
情熱,じょうねつ,ความคลั่งไคล้,y
惚ける,とぼける,แกล้งทำเป็นใสซื่อ เปิ่น แกล้งโง่,y
惚気,のろけ,การแสดงความชื่นชมในตัวภรรยาหรือสามี,y
惰性,だせい,แรงเฉื่อย,y
意地張る,いじはる,ดื้อรั้น,y
意気投合,いきとうごう,（四字熟語） คิดเหมือนกัน ใจตรงกัน,y
意気消沈,いきしょうちん,（四字熟語） หมดอาลัยตายอยาก,y
意義,いぎ,ความหมาย,
愕然,がくぜん,ตะลึง,
愚痴,ぐち,การบ่นไม่เป็นเรื่อง,
愛でる,めでる,เอ็นดู ชื่นชม,y
感激,かんげき,ความตื้นตัน ความประทับใจ,
慎重,しんちょう,อย่างละเอียดถี่ถ้วน,
慣用句,かんようく,สำนวนโวหาร,
慰労会,いろうかい,งานเลี้ยงขอบคุณ สำหรับความเหนื่อย,y
慰霊碑,いれいひ,ป้ายหลุมศพ,y
憔悴,しょうすい,ผอมซูบ อิดโรย,y
憩い,いこい,การพักผ่อน,
憩いの場,いこいのば,สถานที่พักผ่อน,y
懲りる,こりる,เข็ดหลาบ,y
懺悔,ざんげ,การสารภาพบาป,y
成す術がない,なすすべがない,ไม่มีทางทำอะไรได้ ทำอะไรไม่ได้เลย ไม่มีหนทาง,y
成熟,せいじゅく,การเจริญเติบโตเต็มที่,y
成金,なりきん,เศรษฐี คนอวดรวย,y
我武者羅,がむしゃら,บ้าระห่ำ หามรุ่งหามค่ำ,y
我田引水,がでんいんすい,（四字熟語） เอาแต่ประโยชน์ของตัวเองเป็นหลัก,y
戒める,いましめる,ห้ามปราม ตักเตือน ตำหนิ ว่ากล่าวสั่งสอน,
戒名,かいみょう,ชื่อในงานศพ,y
戦略,せんりゃく,กลยุทธ์ ยุทธศาสตร์,y
戯れる,たわむれる,หยอกเย้า แหย่ จีบ,y
所得税,しょとくぜい,ภาษีเงินได้,y
所詮,しょせん,ผลสุดท้าย ในที่สุด ท้ายที่สุด,y
所轄,しょかつ,ขอบเขตของอำนาจ ขอบเขตของการปกครองดูแล,y
扁桃腺,へんとうせん,ต่อมทอนซิล,y
手の甲,てのこう,หลังมือ,y
手取り,てどり,เงินได้สุทธิ,y
手品,てじな,มายากล การเล่นกล,y
手品師,てじなし,นักมายากล (คำญี่ปุ่น),y
手当て,てあて,เบี้ยเลี้ยง เงินช่วยเหลือ,
手探り,てさぐり,การคลำหา การใช้มือควานหา,y
手枷足枷,てかせあしかせ,การพันธนาการ การจำกัดอิสรภาพ,y
手榴弾,しゅりゅうだん,ระเบิดน้อยหน่า,y
手段,しゅだん,วิธี หนทาง,y
手織り,ており,ผ้าทอมือ การทอผ้าด้วยมือ,y
手裏剣,しゅりけん,ดาวกระจาย,y
手錠,てじょう,กุญแจมือ,y
手頃,てごろ,กำลังดี พอเหมาะ สมน้ำสมเนื้อ,y
抉る,えぐる,คว้าน เจาะ เผชิญหน้า,y
把握,はあく,การจับจนแน่น การเข้าใจเป็นอย่างดี,
抑制,よくせい,การควบคุมให้อยู่ในขอบเขต,y
投資家,とうしか,นักลงทุน,y
抗う,あらがう,ต่อต้าน แข็งขืน,
折り返す,おりかえす,วกกลับ โทรกลับ ติดต่อกลับ,y
披露宴,ひろうえん,งานเลี้ยงงานแต่งงาน งานเฉลิมฉลอง,y
抱擁,ほうよう,การกอด,y
抱負,ほうふ,ความตั้งใจที่จะทำ ความคาดหวัง เป้าหมาย (เช่น ปีใหม่),y
抵抗器,ていこうき,ตัวต้านทาน,y
抽象,ちゅうしょう,นามธรรม,y
担う,になう,แบก ขน รับภาระ,
担保,たんぽ,การจำนอง การค้ำประกันในการชำระหนี้,y
担架,たんか,เปลสนาม,y
拉致,らち,การลักพาตัว,y
拒む,こばむ,ปฏิเสธ (!断),y
拗ねる,すねる,งอน,y
拙い,つたない,แย่ เลวร้าย,
拙者,せっしゃ,ฉัน,
拙著,せっちょ,หนังสือของฉัน ผลงานของฉัน,y
拝む,おがむ,ไหว้ รับชม (รูปถ่อมตัวของ 見る),y
拡張子,かくちょうし,นามสกุลไฟล์,y
括約筋,かつやくきん,หูรูด,y
拳,こぶし,กำปั้น,y
拾得,しゅうとく,การเก็บของได้ การหาเจอของที่คนทำหาย,y
持久力,じきゅうりょく,อึด ทรหด สมาธิ,
挑発,ちょうはつ,ยั่วยุ ยั่วยวน (漢字),y
挫ける,くじける,ยอมแพ้ ตัดใจ อ่อนกำลังลง อ่อนแรง (!お),y
振る舞う,ふるまう,กระทำ ประพฤติ เลี้ยงต้อนรับ,
振幅,しんぷく,แอมพลิจูดคลื่น,y
捏ねる,こねる,นวด (แป้ง),y
捏造,ねつぞう,การกุเรื่องขึ้น การปั้นน้ำให้เป็นตัว,y
捕捉,ほそく,การจับ(ศัตรู) การจับ(ความหมาย),y
捕虜,ほりょ,เชลย,y
捻挫,ねんざ,ข้อพลิก / แพลง,y
掃く,はく,กวาด,y
授与,じゅよ,มอบให้,
掌,てのひら,ฝ่ามือ อุ้งมือ,y
排他的論理和,はいたてきろんりわ,XOR,y
排泄,はいせつ,การขับถ่าย การกำจัดของเสียออกจากร่างกาย,y
掟,おきて,กฎชุมชน,y
採決,さいけつ,การลงคะแนนตัดสิน,y
採算,さいさん,ผลกำไร ผลประโยชน์ (!r),y
控訴,こうそ,การยื่นอุธรณ์,y
控除,こうじょ,การลดหย่อนภาษี การหักออก,y
推奨,すいしょう,การแนะนำ การสนับสนุน การเชิดชู,
推移,すいい,การเปลี่ยนผัน การเปลี่ยนแปลงตามเวลา,y
推薦,すいせん,การเสนอชื่อให้ดำรงตำแหน่ง,y
推進,すいしん,การขับเคลื่อน การสนับสนุน การส่งเสริม,y
措置,そち,การจัดการ,
掲載,けいさい,ตีพิมพ์,y
揉み消す,もみけす,ปิดข่าว,y
提示,ていじ,การนำออกมาแสดง การยื่นเอกสาร,
揶揄,やゆ,การหยอกล้อ เย้าแหย่,
揺り籠,ゆりかご,เปล,y
損なう,そこなう,ทำเสียหาย,y
携える,たずさえる,ถือ พาไปด้วย,
搾取,さくしゅ,การรีดไถ การเอาเปรียบ,y
摂取,せっしゅ,การรับเข้า,
摂氏,せっし,องศาเซลเซียส,y
摘発,てきはつ,การเปิดโปง การตีแผ่ การกวาดล้าง การบุกทะลาย,y
撥音,はつおん,เสียง ん,y
操る,あやつる,ควบคุม เชิด บังคับ,y
擦り付ける,なすりつける,โทษ โยนความผิด ป้ายความผิด,y
擦れる,すれる,กระทบ เสียดสี ถลอก สึก,y
支配下,しはいか,อยู่ภายใต้อาณานิคม,
改革,かいかく,ปฏิรูป,y
攻勢,こうせい,การโจมตี การรุกราน,
放射能汚染,ほうしゃのうおせん,การปนเปื้อนสารกัมมันตรังสี,y
政府官邸,せいふかんてい,ทำเนียบรัฐบาล,y
故人,こじん,ผู้วายชนม์,y
救世主,きゅうせいしゅ,ผู้กอบกู้โลก พระผู้ช่วย,y
救済,きゅうさい,การปลดเปลื้อง(หนี้) การบรรเทาทุกข์,y
救護班,きゅうごはん,หน่วยพยาบาล กู้ชีพ,y
教師あり学習,きょうしありがくしゅう,(en: supervised learning),y
教師なし学習,きょうしなしがくしゅう,(en: unsupervised learning),y
教徒,きょうと,ศาสนิกชน,y
敬う,うやまう,เคารพนับถือ (!と),
数学的帰納法,すうがくてききのうほう,การอุปนัยทางคณิตศาสตร์ (en: mathematical induction),y
数珠,じゅず,ลูกประคำ,y
