tailandés,valencià,หมายเหตุ
ฉันรวมจิตแพทย์(ทั้งหญิงและชาย)ไปในอาชีพที่จำเป็นในยุคปัจจุบันด้วย,Jo incloc les psicòlogues i els psicòlegs entre els professionals necessaris avui dia.,
ฉันล้างส้อม(พหู),Jo rente les forquilles.,
ฉันตัดขนมปังด้วยมีดเล่มใหม่เล่มหนึ่ง,Jo talle el pa amb un ganivet nou.,
ฉันหยิบหมวก(พหู),Jo vaig treure els barrets.,- pasat
เราเล่นในสองลีกพร้อมกัน,Juguem en dues lligues a la vegada.,
น้ำเป็นพื้นฐานสำหรับการดำรงชีวิต,L'aigua és bàsica per viure.,
เทศบาลของหมู่บ้านเธอนั้นรวย,L'ajuntament del teu poble és ric.,
แมงมุมอยู่ด้านหลัง<b><i><u>พวก</u></i></b>เธอ,L'aranya és darrere vostre.,
ช้างกลัวหนู,L'elefant té por del ratolí.,
สถานีรถไฟอยู่ไกลจากมหาวิทยาลัย,L'estació està lluny de l'universitat.,
นักเรียนสูญเสียสมาธิได้ง่ายมาก,L'estudiant perd fàcilment la concentració.,
ฉันได้รู้จักเขาเมื่อเช้านี้,L'he conegut aquest matí.,
ผู้ชายเล่นกับเงาของเขา,L'home juga amb la seua ombra.,
นกหลับอยู่บนกิ่งของต้นไม้,L'ocell dorm a la branca de l'arbre.,
นกอยู่ที่บ้าน　สิงโตก็อยู่(ที่นั่น),L'ocell és a casa. El lleó també hi és.,
ทองไม่ได้มีสีเหลือง,L'or no és groc.,
แกะมีสีขาว,L'ovella és blanca.,เอกพจน์
สูญเสียการได้ยิน แต่ใบหูไม่เป็นไร,"L'oïda es perd, però l'orella no.",
เป็ดสีเหลืองเป็นเพื่อนร่วมชั้นเรียนกับเต่าสีฟ้า,L'ànec groc és company de classe de la tortuga blava.,
ฉากสุดท้ายคือดีที่สุด,L'última escena és la millor.,
บ้านที่แมวนอนอยู่ด้านในนั้นใหญ่,La casa dins la qual dorm el gat és gran.,
กุญแจของประตูสีเหลืองคืออันสีแดง,La clau de la porta groga és la vermella.,
การสร้างเครื่องจักรนำไปสู่การปฏิวัติอุตสาหกรรม,La creació de les màquines va portar la revolució industrial.,
ผู้หญิงหอมแก้มผู้ชาย,La dona fa un petó a l'home.,
ใบไม้มีสีเขียว,La fulla és verda.,เอกพจน์
ผู้คนสามารถเล่น ทำงาน และทำสิ่งต่าง ๆ ในระหว่างกลางวัน และพอถึงตอนกลางคืนดวงจันทร์ขึ้นแล้วทุกคนก็ไปนอนเพื่อพักผ่อนและเริ่มต้นวันใหม่ด้วยพลังงานที่เต็มเปี่ยมและอารมณ์ที่แจ่มใส,"La gent pot jugar, treballar i fer coses durant el dia, i quan a la nit ix la Lluna, tothom se'n va a dormir per descansar i començar el nou dia plens d'energia i bon humor.",
กางเกงส่วนใหญ่เป็นของฉัน,La majoria dels pantalons són meus.,
แม่ของ Tom และ พ่อของ Laia เป็นพี่น้องกัน,La mare del Tom i el pare de la Laia són germans.,
อาจารย์(ญm)อยากให้นักเรียนพูดคำตอบ,La mestra vol que els estudiants diguin la resposta.,
บ้านฉันอยู่ใกล้สถานีรถไฟ,La meua casa està a prop de l'estació.,
เพื่อนร่วมงาน(ญ)ของฉันเป็นคนง่าย ๆ และไม่เสแสร้ง(ธรรมชาติ),La meua companya és una persona senzilla i natural.,
ลูกสาวของฉันเล่นกีฬา,La meua filla fa esport.,
เสื้อแจ็กเก็ตของฉันเล็กกว่าของเธอ,La meua jaqueta és més xicoteta que la teua.,
กระเป๋าสะพายฉันอยู่ในรถ,La meua motxilla és al cotxe.,
แฟน(ญ)ของฉันใช้เวลาตอนเช้าด้วยการอ่านและเขียน,La meua xicota passa el matí llegint i escrivint.,
ฉบับใหม่ออกขายแล้ว,La nova edició ja està a la venda.,
งานใหม่นี้ต้องการสติปัญญามากขึ้น,La nova tasca necessita més intel·ligència.,
คนไข้(ญ)มีความดันต่ำ,La pacient té la pressió baixa.,
คน(p)ที่ฉันพูดถึงก็คือเธอ,La persona de qui parle eres tu.,
ตำรวจไม่เคยรู้เลยว่าเกิดอะไรขึ้น,La policia mai va descovrir el que havia passat.,- passat<br>- ไม่ค้นพบสิ่งที่ได้เกิดขึ้น
อาจารย์(ญ)อยู่ด้านหลังโต๊ะ ด้านหน้ากระดานดำ,"La professora està darrere de la taula, davant de la pissarra.",
การสูญเสียเงินนั้นสร้างผลกระทบแก่ครอบครัวของเรา,La pèrdua de diners afecta la nostra família.,
สัปดาห์ที่จะถึงนี้พวกเราหยุดพักร้อนและไม่ไปสอนในชั้นเรียน,La setmana que ve fem vacances i no fem classe.,
ปากของเขาเล็ก(x),La seua boca és xicoteta.,
บ้านของเขาอยู่ด้านข้างร้านค้า,La seua casa està al costat de la botiga.,
อันโชคนั้น ถ้าไม่แสวงหา ก็ไม่เจอ,"La sort, si no es busca, no es troba.",
ฤดูใบไม้ร่วงเป็นฤดูที่ฉันชอบ,La tardor és la meua estació preferida.,
เต่าไม่แก่,La tortuga no és vella.,
เต่าอยู่ข้างเป็ด,La tortuga és al costat de l'ànec.,
ฉันเลิกชอบเขา(ช)แล้ว,La vaig deixar estimant-lo.,
ฉันเจอเขา(ญ)ที่บ้านกำลังเขียนจดหมายหนึ่งฉบับให้ฉัน,La vaig trobar a casa escrivint-me una carta.,- pasat
เวอร์ชันดั้งเดิมเป็นภาษาอังกฤษ,La versió original és en anglés.,
การมองเห็นเกิดขึ้นได้(เป็นไปได้)จากรังสี(พหู)ของแสง,La visió és possible gràcies als raigs de llum.,
บ้าน(พหู)ว่าง,Les cases són buides.,
ทั้งสองคำมีความหมายเหมือนกัน,Les dues paraules tenen el mateix significat.,
งานเลี้ยง(พหู)ที่ฉันจัดนั้นเรียบง่ายมาก โดยไม่มีสิ่งของพิเศษอะไรมากมาย,"Les festes que jo faig són molt senzilles, sense gaires coses especials.",
ชั่วโมง นาที และวินาทีเป็นหน่วยนับเวลา,"Les hores, els minuts, i els segons són unitats de temps.",
ป้า ๆ สามคนของฉันกิน(reflex.)แอปเปิลหกลูก สองลูกต่อคน,"Les meues tres ties van menjar-se sis pomes, dues per hom.",- pasat
เหล่าจิตแพทย์(ญ)นั้นประหม่าเวลาทำงานกับคนที่ยาก,Les psicòlogues estan nervioses quan treballen amb gent difícil.,
เขาชอบฟังเพลง,Li agrada escoltar música.,
เขาชอบเพลงประเภทไหนก็ได้,Li agrada la música de qualsevol tipus.,
ฉันบอกเขาว่าเธอไม่มา,Li dic que tu no véns.,
ฉันอ่านตอนกำลังกินและฉันกินตอนกำลังอ่าน,Llig menjant i menge llegint.,
ไกลจากที่นี่ ฉันเห็นสัตว์บางตัวกำลังวิ่ง,"Lluny d'aci, veig alguns animals corrent.",
ฉันชอบกินอาหารเช้าที่ร้านกาแฟ,M'agrada desdejunar-me al café.,
ฉันชอบปากกาที่ฉันใช้เขียน,M'agrada el bolígraf amb què escric.,
ฉันชอบกลิ่นของเธอ,M'agrada la teua olor.,
ฉันชอบที่วิชาเรียนให้ประสบการณ์(แก่เธอ)ด้วยและไม่ใช่แค่เนื้อหา,M'agrada quan un curs et dóna experiències i no només contingut.,
พวกเขาได้รับฉันเข้าเรียนในมหาวิทยาลัยนี้,M'han admés en aquesta universitat.,
ฉันตื่น(d)เช้า,M'he despertat aviat.,- perfect
ฉันกัดลิ้นตัวเอง,M'he mossegat la llengua.,- perfect
ฉันอยู่ในท่าที่มือข้างหนึ่งอยู่ด้านหน้าและอีกข้างอยู่ด้านหลัง,M'he quedat amb una mà al davant i l'altra al darrere.,
ฉันไม่สนใจ(ig)ว่ามันจะเป็นรองเท้าบูตหรือว่าจะเป็นรองเท้า(ธรรมดา),M'és igual si és una bota o si és una sabata.,
(ฉัน)ไปละ,Me'n vaig.,
ช่วงระหว่างที่อาจารย์ไม่อยู่เนื่องจากปัญหาทางกฎหมาย จึงไม่มีคาบเรียน,"Mentre continua l'absència del mestre per un problema legal, no hi ha classe.",
งานวิจัยหลายชิ้นไม่ไปไหนเลยสักที่,Moltes investigacions no van a enlloc.,
ไม่มากก็น้อย ที่มีการเกิดของผู้ชายพอ ๆ กันกับผู้หญิง,"Més o menys, es donen tants naixements masculins com de feminins.",
มีสี่อัน,N'hi ha quatre.,
หิมะตก,Neva.,
ไม่จำเป็นต้องเปิดไฟ(พหู),No cal encendre les llums.,
เขาเดินไม่ดี เพราะเขาไม่ได้ใส่รองเท้าที่เหมาะสม,"No camina bé, perquè no porta unes sabates adequades.",
พวกเขาไม่สนใจว่าเราจะใส่ปลาไปแทนเนื้อหรือไม่,No els fa res si posem peix en lloc de carn.,
ฉันไม่อยากใส่เสื้อสเวตเตอร์(!s)ตัวนี้เลย,No em vull posar aquest jersei.,
ห้ามเข้าหรือออกจากขบวนรถขณะได้ยินเสียงสัญญาณ,No entre ni isca del tren quan senta el senyal acústic.,- vosté<br>- เสียงสัญญาณ - el senyal acústic
ไม่สามารถโดยสารกับสัตว์เลี้ยง ยกเว้นสุนัขนำทางผู้พิการ,No es pot viatjar amb animals a excepció dels gossos pigall.,สุนัขนำทาง - pigall
ฉันไม่เขียนให้ใครทั้งนั้น,No escric a ningú.,
ห้ามเข้าไปในโรงอาหารนะ,No has d'entrar al menjador.,
ฉันไม่ได้เอากุญแจ(พหู)บ้านมา,No he agafat les claus de casa.,
ฉัน<i><u><b>ไม่เคย</b></u></i>รู้จักใครที่เหมือนเธอมาก่อนเลย,No he conegut mai ningú com tu.,
ฉันยังไม่ได้ทำการบ้านเลย,No he fet els deures.,
ฉันไม่ได้ทำอะไรเลย,No he fet res.,
ไม่มีปัญหาใด ๆ,No hi ha cap problema.,
ฉันไม่รู้,No ho sé.,
เราหามัน(ญ)ไม่เจอเลยสักที่,No la trobem enlloc.,
ฉันไม่ชอบข้อเสนอของพวกเขา,No m'agraden les seues ofertes.,
ฉันไม่อยากใส่มัน(เสื้อผ้า-ช)เลย,No me'l vull posar.,- เอากรรมไว้ข้างหน้า
ไม่มีเลย (นับได้),No n'hi ha cap.,
ไม่มีเลย (นับไม่ได้),No n'hi ha gens.,
ฉันไม่สามารถทนกลิ่นเหม็นนี้ได้อีกต่อไปแล้ว,No puc aguantar més aquesta pudor.,
ฉันคุยตอนนี้ไม่ได้ ฉันเพิ่งเข้าประชุม,"No puc parlar ara, tot just he entrat a una reunió.",
ไม่ต้องกลัวความล้มเหลว,No s'ha de tindre por del fracàs.,
เรามีม้าไม่เยอะ,No tenim gaires cavalls.,
ฉันไม่แน่ใจว่าจะทำแบบฝึกหัดข้อนี้อย่างไร,No tinc clar com fer aquest exercici.,
ไม่ใช่ความตั้งใจของฉัน,No va ser la meua intenció.,- pasat
ฉันไม่เห็นว่าเกิดอะไรขึ้น,No vaig veure el que va passar.,- passat
เขาไม่มาเพราะเขามีสิ่งผูกมัดอื่น,No ve perquè té un altre compromís.,
ฉันไม่อยากรอเธอนานขนานนั้น,No vull esperar-te tant de temps.,
มันไม่ค่อยมีความเป็นทางการเท่าไหร่กับชุดที่เขาใส่ เขาชอบเนคไทกับเข็มขัดสีเหลืองอ๋อย,No és gaire formal amb la roba que porta: li agraden les corbates i els cinturons de color groc àcid.,
โดยปกติแล้ว ผ้าคลุมเตียงนั้นจะเอาไว้ด้านบน(d)ผ้าปูเตียง,"Normalment, el cobrellit es posa damunt del llençol.",
พวกเราไปในทางทิศเหนือ มุ่งหน้าหาความหนาวเย็น,"Nosaltres anem en direcció al nord, cap al fred.","- amb paraula ""direcció"""
พวกเราไม่ได้ทอดอะไรเลยในห้อง,Nosaltres no vam fregir res a l'habitació.,- pasat
พวกเราเคยเป็นแชมป์ในปีสองพันสิบห้า แต่เราไม่ได้เป็นแล้ว,"Nosaltres vam ser els campions l'any dos mil quinze, però ja no ho som.",
ปู่ย่าตายายของ<b><i><u>พวกเธอ</u></i></b>เคยอาศัยอยู่ที่ไหน,On havien viscut els vostres avis?,
เธอไปไหนตอนที่พวกเรามาถึง,On havies anat quan vam arribar?,- pasat
หิมะตกที่ไหน,On va nevar?,- pasat
เธอไปไหนมาเมื่อวาน,On vas anar ahir?,
พวกคุณอาศัยอยู่ที่ไหน,On viviu?,vosaltres
พวกเราพูดภาษาบาเลนเซีย แต่ก็พูดภาษาสเปนด้วย,"Parlem valencià, però parlem també castellà.",
โดยควันเรารู้ได้ว่าที่ไหนมีไฟ,Pel fum sabem on hi ha el foc.,
ในเดือนพฤษภาคมฉันฉลองวันเกิดของฉัน,Pel maig celebre el meu aniversari.,
ตอนเช้าเจ็ดโมงสิบห้าฉันทานอาหารเช้า,Pel matí a les set i quart em desdejune.,
ทางด้านของสิ่งอำนวยความสะดวก อพาร์ตเมนต์(นี้)มีเครื่องปรับอากาศและฮีตเตอร์ ไม่มีสวน,Pel que fa a les comoditats: el pis té aire condicionat i calefacció. No hi ha jardí.,
แน่นอนว่าไม่,Per descomptat que no.,
ทำไมพวกเธอถึงต่อยพวกเรา,Per què ens doneu un colp?,
ในการที่จะประสบความสำเร็จจำเป็นที่จะต้องลงแรง,Per tal de tindre èxit cal fer esforç.,
การสูญเสียไม่จำเป็นต้องแย่เสมอไป,Perdre no sempre és dolent.,
ฝนตกหนักในเดือนเมษายน,Plou molt a l'abril.,
พูดช้าลงกว่านี้ได้ไหม,"Pot parlar més lentament, per favor?",vosté
คุณอาจจะพบว่าเขาอารมณ์ดี แต่ฉันไม่,"Potser tu trobes que està de bon humor, però jo no.",
การลงมือตัดสินใจนั้นสำคัญ,Prendre una decisió és important.,
เมื่อพวกเขาปฏิบัติตัว(ต่อคนอื่น)แบบนี้ (ผู้คน)จึงสามารถรู้สึกได้รับการต้อนรับที่ดีมาก,"Quan el tracten així, hom pot sentir-se molt benvingut.",
ตอนที่ลูกเลี้ยงของเธอมาบ้านในหน้าหนาว พวกเขาใส่เสื้อโค้ตสีเทาเรียบ ๆ ด้วยเสมอ,"Quan els teus fillols venen a casa a l'hivern, sempre porten uns senzills abrics grisos.",
ตอนฉันพูดกับเธอฉันมีความสุข,Quan parle amb tu sóc feliç.,
อันนี้ราคาเท่าไหร่,Quant costa això?,
คาบเรียนนานกี่ชั่วโมง,Quant dura la classe?,
คุณอายุเท่าไหร่,Quants anys tens?,tu
โลกมีกี่ทวีป,Quants continents té el món?,
คน(q)ที่ซื้อที่ดินเปล่านั้นอยากทำเงิน,Qui compra terrenys buits vol fer diners.,
ใครหวีผมอยู่ในห้องน้ำ,Qui es pentina al bany?,
(โทรศัพท์) นั่นใคร,Qui hi ha?,
ใครจะไม่อยากอยู่ประเทศที่เป็นอิสระ,Qui no vol viure en un país lliure?,
ใครขายรองเท้าให้เธอ,Qui t'havia venut les sabates?,imperfet
อาชีพ(t)ในฝัน(พหู)ของคุณคืออะไร,Quin és el treball dels teus somnis?,
อาชีพของคุณคืออะไร,Quina feina tens?,faena
กี่โมงแล้ว,Quina hora és?,ถามด้วย ser
เมืองหลวงของประเทศคุณคือเมืองไหน,Quina és la capital del teu país?,
วันนี้วันที่เท่าไหร่,Quina és la data d'avui?,
ที่อยู่อีเมลของคุณคืออะไร,Quina és la teua adreça electrònica?,
เธอมักจะทำอะไรในช่วงฤดูร้อนหรอ,Què acostumes a fer a l'estiu?,- มัก a
คุณทำอาชีพอะไร,Què fas de treball?,fer + treball
เธอทำอะไรในช่วงเช้า,Què fas pel matí?,
มีอะไรอยู่ด้านหลังน่ะ,Què hi ha darrere?,
เธอบอกเขาว่าอะไร,Què li dius?,
อะไรทำให้พวกเธอขี้เกียจ,Què us fa mandra?,
หัวเข่าด้านขวาแตก,S'ha trencat el genoll dret.,- perfet
พวกเขาต้องจ่ายดอกเบี้ย(ของตัวเอง),S'han de pagar els interessos.,
เขาเขียนด้วย<b><u>มือซ้าย</u></b>เสมอ,Sempre escriu amb l'esquerra.,<b><i><u>ไม่ใช่ขวา</u></i></b>
ถ้าเธอสามารถอธิบายมัน(ช)ได้ มันก็ไม่ใช้ปัญหาแล้ว,"Si el pots explicar, ja no és un problema.",
ถ้าฉันเรียนได้มากพอ ฉันสามารถจบหลักสูตรกาตาลันได้,"Si estudie prou, puc treure'm el títol de català.",
ถ้าเธอทำเสียงรบกวน ฉันจะเสียสมาธิ,"Si fas soroll, perd la concentració.",
ถ้าพวกเธอมีปัญหาอะไร ต้องถามฉันเท่านั้น,"Si teniu cap problema, només heu de preguntar-me.",
ฉันมักจะไปสกีในช่วงฤดูหนาว,Solc anar a fer esquí a l'hivern.,- มัก s
ฉันมักจะกินข้าวเย็นตอนสามทุ่ม,Solc sopar a les nou.,- มัก s
(พหู)มีรสชาติหวาน,Són dolços.,
เวลา 05:45,Són les sis menys quart del matí.,
(พหู)มันเป็นส้มที่น่าเกลียด,Són taronges lletges.,y
เธอชอบดูโทรทัศน์ไหม,T'agrada veure la televisió?,
ฉันสามารถอธิบายมันให้เธอฟังได้ก้วยการยกตัวอย่าง,T'ho puc explicar amb un exemple.,
ไม่ว่าจะมีหรือไม่มีเงิน ฉันจะทำสิ่งที่ฉันอยากเสมอ,"Tenint o no tenint diners, faig sempre el que vull.",
เธอหนาวไหม / ไม่ ฉันไม่,"Tens fred? / No, no en tinc.",
เธอมีพี่น้องไหม / ใช่ ฉันมี,"Tens germans? / Sí, en tinc.",
"กี่โมงแล้ว ",Tens hora?,ถามด้วย tindre + tu
มือเธอสปกรก,Tens les mans brutes.,เธอมีมือ(พหู)ที่สกปรก
ฉันมีดวงตาสีน้ำตาล(!m),Tinc els ulls castanys.,
ฉันอิ่ม (ท้องฉันอิ่ม),Tinc l'estómac ple.,
ฉันมีฝันที่แปลก,Tinc un somni estrany.,
ฉันฝันแปลก,Tinc un somni estrany.,
ฉันนอนแทบไม่ถึงชั่วโมง,Tot just dorm una hora.,
ทุกอย่างเป็นไปเหมือนทุกครั้ง โดยไม่ค่อยมีการเปลี่ยนแปลงมากนัก,"Tot va com sempre, sense gaires canvis.",
ทุกวันยกเว้นเสาร์อาทิตย์ฉันตื่นนอนตอนเจ็ดโมงเช้า,Tots els dies excepte els caps de setmana em desperte a les set del matí.,
เธอหากุญแจ(พหู)และฉันก็เจอมัน,Tu busques les claus i jo les trobe.,
เธอเข้าไปก่อนเลย เดี๋ยวฉัน<u>จะ</u>ตามเข้าไปทีหลัง,Tu entra primer i jo entraré darrere.,tu
เธอใส่น้ำตาลมาในกาแฟของฉัน,Tu poses sucre al meu cafè.,
อายุเกือบ(!p)เก้าสิบปี,Té gairebé noranta anys.,
เขาอายุราว ๆ ยี่สิบปี,Té pla vint anys.,
(เขา)อายุเกือบ(!p)สามสิบปี,Té prop de treinta anys.,
หนึ่งกิโลเมตรที่ห่างจากเธอเปรียบเหมือนระยะทางหนึ่งปีแสงสำหรับฉัน,Un quilòmetre lluny de tu és com un any llum per a mi.,
หนึ่งกิโลเมตรนั้นยาวกว่าหนึ่งเมตรพันเท่า,Un quilòmetre és mil vegades més llarg que un metre.,
พวกเธอชอบไวน์(พหู)ของร้านอาหารนี้ไหม,Us agraden els vins d'aquest restaurant?,
พวกเธอโอเคไหมถ้าฉันจะกินข้าวที่นี่,Us fa res si menge ací?,
พวกเธอ<b><u>จะ</u></b>ใช้ห้องครัวบ่อยไหม,Utilitzareu molt la cuina?,
ฟ้าผ่าลงมาและก็ไหม้ห้องสมุด,Va caure un llamp i va cremar la biblioteca.,- pasat
ฉันจะกินข้าวเที่ยง,Vaig a dinar.,
ฉันอ่านไปราว ๆ พันหน้า,Vaig llegir pla mil pàgines.,- pasat
ฉันได้ยินเสียงน้องชายร้องไห้,Vaig sentir al germà plorant.,- passat
พวกเรามาถึงเมื่อวันอังคาร,Vam arribar dimarts.,- pasat
เราบอกว่าเธอ(๓)ไปป่า,Vam dir que ella va anar al bosc.,- pasat
พวกเรามา(v)เมื่อสองเดือนที่แล้ว,Vam vindre fa dos mesos.,
เมื่อวานพวกเธอไปงานมหกรรมมาหรอ / ใช่ พวกเราไป(ที่นั่น)มา,"Vau anar ahir a la fira? / Sí, vam anar-hi.",
พวกเธอทำความสะอาดกระจก(เอก)ของพวกเธอเอง(อดีต),Vau netejar el vostre mirall.,- pasat
พวกเธอได้ยินสิ่งนั้นไหม,Vau sentir això?,- pasat
ฉันอาศัยอยู่ที่นิวยอร์ก,Visc a Nova York.,
เราต้องการ(v)ถุงขนาดใหญ่<b><i><u>หลายถุง</u></i></b>ที่เต็มไปด้วยสิ่งของ,Volem moltes bosses grosses plenes de coses.,
พวกเธอชั่งน้ำหนักทุกวันหลังจากอาบน้ำ(d)หรือไม่,Vosaltres us peseu cada dia després de dutxar-vos?,- แต่ละวัน
คุณช่วยฉันยกกระเป๋า<sub>(เอก)</sub>หน่อยได้ไหม,Vosté pot ajudar-me amb l'equipatge?,vosté
พูดซ้ำอีกครั้งได้ไหม,Vosté pot repetir?,vosté
ฉันอยากอธิบายวิธีบวกเลขให้ลูก ๆ ของฉัน,Vull explicar als meus fills com sumar.,
ฉันอยากเป็นอิสระดั่งนกที่ได้ออกจากกรงขังและบินในที่สุด,Vull ser lliure com l'ocell que va eixir de la presó i vola finalment.,
มันเป็นเรื่องดีที่รู้สึกกลัวต่อหน้าภัยอันตราย,És bo sentir por davant del perill.,
เป็นธรรมเนียมโลกตะวันตกที่จะทักทายกันด้วยข้างขวา,És costum del món occidental saludar-se amb la dreta.,
นี่คือเส้นทางที่เราต้องการ,És el rumb que ens cal.,
เวลาตีหนึ่ง,És l'una del matí.,
บ่ายโมงตรง,És l'una en punt.,
เป็นแม่น้ำที่แห้งเหือด　ไม่มีน้ำแม้แต่หนึ่งหยด,És un riu sec. No hi ha gens d'aigua.,
เป็นห้องเรียนห้องหนึ่งที่มืด　ไม่มีหน้าต่างแม้แต่บานเดียว,És una aula fosca. No hi ha cap finestra.,
มันเป็นวัวสีขาวที่เต็มไปด้วยลายจุดสีดำ,És una vaca blanca plena de taques negres.,
นี่เป็นแหจับปลา,És una xarxa per a peixos.,
