valencià,tailandés,Add Reverse
el quadern,สมุด (q),y
el quart,หนึ่งในสี่,y
el quilòmetre,กิโลเมตร,y
el rabosot,จิ้งจอก,y
el racó,หลืบ มุม,y
el raig,รังสี รัศมี,y
el raspall,แปรง (คำนาม),y
el ratolí,หนู เมาส์ (คอม),y
el rave,หัวไชเท้า,y
el raïm,องุ่น,y
el rebedor,โถงทางเข้า ห้องรับแขก,y
el regal,ของขวัญ,y
el rellotge,นาฬิกา,y
el remei,วิธีการรักษา หนทางแก้ไข ยา,y
el rentaplats,เครื่องล้างจาน,y
el renyó,ไต,y
el restaurant,ร้านอาหาร,y
el rierol,ลำห้วย,y
el risc,ความเสี่ยง,y
el ritme,จังหวะ,y
el riu,แม่น้ำ,y
el rostre,สีหน้า ใบหน้า,y
el rotulador,ปากกาเมจิก,y
el rovelló,เห็ดสน,y
el ruc,ลา (สัตว์ !a),y
el rumb,ทาง เส้นทาง,y
el rus,ภาษารัสเซีย / คนรัสเซีย (ช),y
el sabater,ช่างรองเท้า,y
el sabó,สบู่,y
el sacerdot,พระ,y
el sant,นักบุญ,y
el secretari,เลขาผู้ชาย,y
el segell,สแตมป์,y
el segle,ช่วงเวลา ศตวรรษ,y
el semàfor,สัญญาณจราจร,y
el senderisme,ไฮกิง,y
el senglar,หมูป่า,y
el senyal,สัญญาณ,y
el setembre,กันยายน,y
el so,เสียง,y
el sofà,โซฟา,y
el sogre,พ่อตา,y
el soldat,ทหาร (s),y
el somni,ความฝัน,y
el soroll,เสียงดัง อึกทึกจอแจ,y
el sostre,เพดาน,y
el soterrani,ห้องใต้ดิน,y
el suc,น้ำผลไม้,y
el sud,ทิศใต้,y
el suec,ภาษาสวีเดน / คนสวีเดน (ช),y
el suro,จุกคอร์ก,y
el suèter,สเวตเตอร์,y
el símptoma,อาการของโรค,y
el sòl,พื้น (!t),y
el tailandés,ภาษาไทย / คนไทย (ช),y
el tall,การตัด หั่นชิ้น,y
el tamboret,เก้าอี้สูงหน้าบาร์,y
el tema,หัวข้อ,y
el terreny,ที่ดิน,y
el torneig,ทัวร์นาเมนต์,y
el tramvia,รถราง,y
el treball,อาชีพ (t),y
el trellat,เหตุผล (ความเมกเซนส์),y
el tren,รถไฟ,y
el tro,ฟ้าร้อง,y
el trànsit,การจราจร,y
el turc,ภาษาตุรกี / คนตุรกี (ช),y
el turisme,การท่องเที่ยว,y
el vaixell,เรือ (!b),y
el valencià,ภาษาวาเลนเซีย / คนวาเลนเซีย (ช),y
el venedor,พนักงานขาย เซล,y
el vent,ลม,y
el ventall,พัด (คำนาม),y
el verí,พิษ,y
el veterinari,สัตวแพทย์ (ช),y
el veí,เพื่อนบ้าน (ผู้ชาย),y
el vi,ไวน์,y
el vidre,แก้ว (วัสดุ),y
el violí,ไวโอลิน,y
el volcà,ภูเขาไฟ,y
el wàter,ห้องน้ำ (w),y
el xampinyó,เห็ดแชมปิญอง,y
el ximo,ขนมปังทางกัสเตโยในงานช่วงมักดาเลนา,y
el xinés,ภาษาจีน / คนจีน (ช),y
el xòfer,โชเฟอร์,y
el yayo,ปู่ ตา (y),y
els Estats Units,สหรัฐอเมริกา,y
els apunts,การจดบันทึก,y
els deures,การบ้าน,y
els ferros (dentals),เหล็กดัดฟัน,y
els palets,ตะเกียบ,y
els pantalons,กางเกง,y
empipar,ทำให้รำคาญ ทำให้ขุ่นเคืองใจ,y
empényer,ผลัก,y
endavant,ตรงไป มุ่งไปหน้า ด้านหน้า (es: adelante),y
endreçat,ที่สะอาด รักความเป็นระเบียบ,y
enlloc,(ไม่)ที่ไหนสักที่,y
enmig,ท่ามกลาง,y
ensucrat,ซึ่งใส่น้ำตาล,y
entelar-se,ขึ้นฝ้า,y
entremeliat,ซน ดื้อ,y
entristir,ทำให้เศร้า,y
enverinar,วางยาพิษ,y
equivocar-se,ทำผิดพลาด,y
esbossar,สเก็ตช์ภาพ,y
esclatar,ระเบิด บาน,y
esclatar a riure,หัวเราะออกมาอย่างดัง,y
escoltar,ฟัง,y
escriure,เขียน,y
escurar,ล้าง ทำความสะอาด (!n!r),y
esgotar,ทำให้เหนื่อย ทำให้หมดแรง,y
esmorzar,ทานอาหารเช้า (es: almorzar),y
esquerrer,ถนัดซ้าย,y
esquiar,เล่นสกี,y
estalviar,เก็บออม ประหยัด,y
estatunidenc,ที่เกี่ยวกับสหรัฐอเมริกา,y
estimar,ชอบ รัก,y
estirar,ดึง,y
estret,แคบ คับ,y
estripar,แกะออก ผ่าไส้,y
estúpid,โง่,y
esvelt,ผอมเพรียว สลิม,y
etzibar,ต่อย ขว้าง เถียง,
europeu,ที่เกี่ยวกับยุโรป,y
fals,ที่เป็นความเท็จ,y
famós,มีชื่อเสียง,y
fer,ทำ,y
fer l'efecte,ให้ความรู้สึก… (es: parecer),y
fer la mandra,อยู่เฉย ๆ ไม่ทำอะไร,y
fer pudor,ส่งกลิ่นเหม็น,y
fer servir,ใช้ (๒),y
fer tard,มาสาย,y
ficar,ยัด ดัน (es: meter),y
fin,บาง,y
fora,ด้านนอก,y
fosc,มืด,y
francesa,เกี่ยวกับฝรั่งเศส (ญ),y
fregar,ถู (พื้น) [คำกริยา],y
fregir,ทอด,y
gairebé,เกือบ (!q),y
generós,ใจดี ใจกว้าง,y
gens de,ไม่สักนิด แม้แต่น้อย (นามนับไม่ได้),y
grega,เกี่ยวกับกรีก (ญ),y
greu,หนักหนาสาหัส,y
groc,สีเหลือง,y
gros,อ้วน หนา (๑),y
gruixut,อ้วน หนา (๒),y
guanyar,ชนะ,y
haver,(es: haber),y
holandesa,เกี่ยวกับดัตช์ (ญ),y
hom,ใครบางคน (!a) คนใดคนหนึ่ง,y
immens,มโหฬาร มหึมา (i),y
incloure,รวม (es: incluir),y
infringir,ละเมิด,y
italiana,เกี่ยวกับอิตาลี (ญ),y
japonesa,เกี่ยวกับญี่ปุ่น (ญ),y
jove,อายุน้อย,y
jueu,ที่เกี่ยวกับยิว,y
l'alumne,นักเรียน (a),y
l'estudiant,นักเรียน (e),y
l'holandés,ภาษาดัตช์ / คนดัตช์ (ช),y
l'oració,โฮมรูม การปราศรัย,y
la Lluna,ดวงจันทร์,y
la balança,ตาชั่ง เครื่องชังน้ำหนัก,y
la banda,ด้านข้าง (คำนาม),y
la banquera,พนักงานธนาคารผู้หญิง,y
la banya,เขาสัตว์,y
la banyera,อ่างอาบน้ำ,y
la barba,เครา,y
la barca,เรือ (!v),y
la beguda,เครื่องดื่ม,y
la bicicleta,รถจักรยาน,y
la biologia,ชีววิทยา,y
la bleda,ผักชาร์ด,y
la boca,ปาก,y
la boira,หมอก,y
la bombera,นักดับเพลิงผู้หญิง,y
la bossa,กระเป๋าถือ,y
la botifarra,ไส้กรอก(เลือด),y
la botiga,ร้านค้า,y
la branca,กิ่งก้านสาขา,y
la brusa,ชุดสตรี,y
la bufanda,ผ้าพันคอ,y
la butaca,เก้าอี้นวม,y
la butxaca,กระเป๋ากางเกง,y
la cadira,เก้าอี้,y
la caiguda,การร่วงหล่น,y
la caixera,แคชเชียร์ผู้หญิง,y
la calor,ความร้อน,y
la cama,ขา,y
la cambrera,บริกรผู้หญิง,y
la cantant,นักร้องผู้หญิง,y
la capatassa,หัวหน้าคนงานผู้หญิง,y
la cara,ใบหน้า,y
la carabassa,ฟักทอง,y
la carlota,แครอท,y
la carn,เนื้อสัตว์,y
la carnissera,คนขายเนื้อสัตว์ผู้หญิง,y
la carnisseria,ร้านขายเนื้อ,y
la carpeta,แฟ้ม,y
la cartera,พนักงานไปรษณีย์ผู้หญิง,y
la carxofa,อาร์ติโชก,y
la ceba,หัวหอม,y
la cella,คิ้ว,y
la cerimònia,พิธี งานเฉลิมฉลอง,y
la chiqueta,เด็กผู้หญิง (c),y
la científica,นักวิทยาศาสตร์ผู้หญิง,y
la cigonya,นกกระสา,y
la cirera,เชอร์รี,y
la cirurgiana,ศัลยแพทย์ (ญ),y
la ciutat,เมือง,y
la ciència,วิทยาศาสตร์,y
la classe,ชั้นเรียน,y
la clau,กุญแจ,y
la claveguera,ท่อระบายน้ำ,y
la comoditat,การอำนวยความสะดวก สิ่งอำนวยความสะดวก,y
la companya,เพื่อนร่วมชั้น เพื่อนร่วมงาน (หญิง),y
la competència,การแข่งขัน,y
la conductora,คนขับรถผู้หญิง,y
la conseqüència,ผลสืบเนื่อง,y
la contable,นักบัญชีผู้หญิง,y
la conversa,บทสนทนา,y
la cortina,ผ้าม่าน,y
la cosina,ลูกพี่ลูกน้องผู้หญิง,y
la creu,กางเขน กากบาท,y
la creïlla,มันฝรั่ง (!p),y
la cuina,ห้องครัว,y
la cuinera,คนทำอาหารผู้หญิง กุ๊กผู้หญิง,y
la cuixa,น่อง,y
la cullera,ช้อน,y
la cunyada,พี่สะใภ้ น้องสะใภ้,y
la cèl·lula,เซลล์,y
la dansa,การเต้น,y
la data,วันที่,y
la deessa,พระเจ้า (ญ.),y
la dentista,ทันตแพทย์ผู้หญิง,y
la dependenta,ลูกจ้างผู้หญิง,y
la desfilada,ขบวนพาเรด,y
la despesa,รายจ่าย ค่าสาธารณูปโภค,y
la dieta,ไดเอ็ต พฤติกรรมการรับประทานอาหาร,y
la dona,ผู้หญิง ภรรยา,y
la dreta,ขวามือ,y
la facultat,คณะ (ในมหาวิทยาลัย),y
la fam,ความหิว,y
la farmàcia,ร้านขายยา,y
la fava,ถั่วฝัก ถั่วปากอ้า,y
la fe,ความเชื่อ,y
la feina,อาชีพ (f),y
la fematera,คนเก็บขยะผู้หญิง,y
la festa,งานเลี้ยง วันหยุด,y
la fi,จุดสุดท้าย จุดสิ้นสุด จุดจบ,y
la figa,ลูกฟิก,y
la filla,ลูกสาว,y
la fillastra,ลูกติดผู้หญิง,y
la fillola,ลูกเลี้ยงผู้หญิง,y
la finestra,หน้าต่าง,y
la fira,มหกรรม แฟร์,y
la flaire,กลิ่นหอม,y
la flauta,ขลุ่ย,y
la font,น้ำพุ,y
la fornera,คนทำขนมปังผู้หญิง,y
la forquilla,ส้อม,y
la fotocòpia,การถ่ายเอกสาร,y
la fotògrafa,ช่างถ่ายรูปผู้หญิง,y
la frase,ประโยค,y
la frontera,ชายแดน,y
la fruiteria,ร้านขายผลไม้,y
la fulla,ใบไม้,y
la fusta,ไม้,y
la fustera,ช่างไม้ผู้หญิง,y
la futbolista,นักฟุตบอลผู้หญิง,y
la galeta,คุกกี้,y
la geniva,เหงือก,y
la gerent,ผู้บริหารผู้หญิง (!e),y
la germana,พี่สาว น้องสาว,y
la germanastra,พี่สาวน้องสาวต่างพ่อแม่,y
la gerra,ไห,y
la gespa,หญ้า,y
la gimnàstica,ยิมนาสติก การออกกำลังกาย,y
la goma,ยาง,y
la granera,ไม้กวาด (วาเลนเซีย),y
la grapadora,ที่เย็บกระดาษ,y
la il·lusió,ภาพลวงตา,y
la infermera,นางพยาบาลผู้หญิง,y
la informàtica,วิชาคอมพิวเตอร์,y
la inversió,การลงทุน,y
la llaminadura,ขนมหวาน (๕),y
la llampada,ฟ้าแลบ,y
la llanda,กระป๋อง,y
la llanternera,ช่างประปาผู้หญิง (!f),y
la llançadora,ชัตเติลบัส,y
la llar,ที่อยู่อาศัย,y
la llengua,ภาษา (ll),y
la llentilla,ถั่วเลนทิล (es: lenteja),y
la llepolia,ขนมหวาน (๓),y
la llesca,ขนมปังหั่นชิ้น,y
la lletra,เนื้อเพลง อักษร,y
la llibreta,สมุดบันทึก (ll),y
la lliga,ลีก,y
la llima,มะนาว (!เลมอน),y
la llimona,เลมอน,y
la llista,รายการ ลิสต์,y
la llitera,เตียงสองชั้น,y
la lliçó,บทเรียน (ll),y
la llum,แสง ไฟ ไฟฟ้า,y
la llàgrima,น้ำตา,y
la llàstima,ความน่าเสียดาย ความรู้สึกสงสาร,y
la làmpada,โคมไฟ (๓),y
la madrastra,แม่เลี้ยง (จากพ่อแต่งงานใหม่),y
la madrina,แม่ทูลหัว,y
la maduixa,สตรอว์เบอร์รี,y
la magrana,ทับทิม,y
la malaltia,อาการป่วย,y
la mandra,ความขี้เกียจ (!p),y
la maquineta,กบเหลาดินสอ,y
la mare,แม่,y
la marinera,กะลาสีเรือผู้หญิง,y
la mascletà,การแสดงประทัด,y
la mecànica,ช่างเครื่องยนต์ผู้หญิง,y
la ment,จิตใจ ความคิด (!a),y
la mestra,อาจารย์ (m ผู้หญิง),y
la mestressa de casa,แม่บ้าน,y
la metgessa,แพทย์ผู้หญิง,y
la migdiada,พักกลางวัน (เซียสตา),y
la minera,คนทำเหมืองผู้หญิง,y
la misèria,ความจนมาก เงินจำนวนน้อยมาก,y
la mitja,ครึ่งหนึ่ง,y
la mitjanit,เที่ยงคืน,y
la monitora,ครูผู้ช่วย (ผู้หญิง),y
la mora,แบล็กเบอร์รี,y
la motxilla,กระเป๋าสะพาย,y
la muntanya,ภูเขา,y
la mà,มือ,y
la mànega,แขนเสื้อ,y
la música,นักดนตรีผู้หญิง,y
la natura,ธรรมชาติ,y
la neboda,หลานสาวของลุงป้าน้าอา,y
la nena,เด็กผู้หญิง (n),y
la neta,หลานสาวของปู่ย่าตายาย,y
la neteja,การทำความสะอาด (คำนาม),y
la neu,หิมะ,y
la nit,ตอนกลางคืน,y
la nora,ลูกสะใภ้,y
la nota,โน๊ต คะแนน,y
la notària,พนักงานทะเบียนผู้หญิง,y
la novel·la,นิยาย,y
la nòria,กังหัน,y
la palanca,คาน คันโยก,y
la pallassa,ตัวตลกผู้หญิง,y
la papallona,ผีเสื้อ (กาตาลุญญา),y
la paperera,ถังขยะ,y
la papereria,ร้านขายเครื่องเขียน,y
la paraula,คำ,y
la paret,กำแพง (!m),y
la pastera,เรือบดเล็ก (สำหรับผู้อพยพ),y
la pastisseria,ร้านขนมเค้ก,y
la pebrera,พริกหยวก,y
la pedra,หิน ลูกเห็บ,y
la peixateria,ร้านขายปลา,y
la pell,ผิวหนัง,y
la peluquera,ช่างตัดผมผู้หญิง,y
la pel·lícula,ภาพยนตร์,y
la pera,ลูกแพร,y
la peresa,ความขี้เกียจ (!m),y
la periodista,นักข่าวผู้หญิง,y
la perseverança,การทำเป็นประจำ,y
la perxa,ไม้แขวนเสื้อ,y
la peça,ชิ้น,y
la pilota,ลูกบอล,y
la pinta,หวี (คำนาม),y
la pintora,นักวาดภาพผู้หญิง,y
la pintura,ภาพวาด,y
la pinya,สับปะรด,y
la pissarra,กระดานดำ,y
la planxa,เตารีด,y
la platja,ชายหาด,y
la plaça,ลานกว้าง พลาซา,y
la ploma,ขนนก,y
la pluja,ฝน (คำนาม),y
la pobreta,คน สิ่งที่น่าสงสาร (หญิง),y
la pols,ฝุ่น,y
la política,นักการเมืองผู้หญิง,y
la poma,แอปเปิล,y
la por,ความกลัว,y
la porqueria,ความสกปรก ของไม่มีค่า,y
la porta,ประตู,y
la postal,โปสการ์ด,y
la premsa,สื่อ ผู้สื่อข่าว,y
la prestatgeria,ชั้นหนังสือ,y
la presó,คุก,y
la primavera,ฤดูใบไม้ผลิ,y
la professora,อาจารย์ (p ผู้หญิง),y
la proteïna,โปรตีน,y
la pruna,ลูกพรุน,y
la psicòloga,จิตแพทย์ (ญ),y
la pudor,กลิ่นเหม็น,y
la pàgina,หน้า (es: la página),y
la pàtria,บ้านเกิด ภูมิลำเนา,y
la pèrdua,การสูญเสีย,y
la química,วิชาเคมี,y
la rasqueta,คราด,y
la raó,เหตุผล (ความคิด ความสัมพันธ์),y
la remolatxa,บีตรูต,y
la rentadora,เครื่องซักผ้า,y
la resposta,คำตอบ,y
la reunió,การรวมตัว การประชุม,y
la rialla,การหัวเราะ,y
la roba,เสื้อผ้า,y
la roda,ล้อรถ,y
la rosada,เหมย,y
la ràbia,ความโกรธ,y
la ràdio,วิทยุ,y
la sala menjador,ห้องรับประทานอาหาร,y
la samarreta,เสื้อยืด,y
la sanció,การลงโทษ ค่าปรับ,y
la sang,เลือด,y
la secretaria,งานเลขาธิการ,y
la secretària,เลขาผู้หญิง,y
la set,ความกระหายน้ำ,y
la sogra,แม่ยาย,y
la solitud,ความโสด ความเหงา,y
la son,ความง่วง,y
la sorra,ทราย (!a),y
la sort,โชค,y
la suor,เหงื่อ,y
la sèrie,ซีรีส์,y
la síndria,แตงโม (กาตาลุญญา),y
la taca,ลาย รอยจุด (es: la mancha),y
la tardor,ฤดูใบไม้ร่วง,y
la tasca,งาน สิ่งที่ต้องทำ (ชิ้นงาน),y
la taula,โต๊ะ,y
la tauleta de nit,โต๊ะข้างเตียง,y
la taxa,ค่าบริการ อัตราค่าธรรมเนียม,y
la televisió,โทรทัศน์,y
la tempesta,พายุ (es: tormenta),y
la terra,พื้นดิน,y
la terrassa,ระเบียง ชานบ้าน (t),y
la tesi,วิทยานิพนธ์,y
la tia,ป้า น้าอาผู้หญิง,y
la tomaca,มะเขือเทศ,y
la tona,ตัน,y
la torrada,ขนมปังปิ้ง,y
la torre,หอคอย,y
la tortuga,เต่า,y
la tovallola,ผ้าเช็ดตัว,y
la trobada,การพบเจอ,y
la truita,ตอร์ติยา,y
la unitat,ความเป็นหนึ่งเดียว ความสามัคคี,y
la universitat,มหาวิทยาลัย,y
la vacança,การพักร้อน,y
la venda,การขาย,y
la venjança,การแก้แค้น,y
la vesprada,ตอนบ่าย,y
la veterinària,สัตวแพทย์ (ญ),y
la veu,เสียง (สิ่งมีชีวิต),y
la veïna,เพื่อนบ้าน (ผู้หญิง),y
la víctima,เหยื่อ ผู้ประสบภัย,y
la xarxa,เครือข่าย,y
la xifra,ตัวเลข (!n),y
la yaya,ย่า ยาย (y),y
lent,ช้า,y
les ceres,สีเทียน,y
les ciències naturals,วิทยาศาสตร์ธรรมชาติ,y
les golfes,ห้องใต้หลังคา,y
les llengües,วิชาภาษา,y
les matemàtiques,คณิตศาสตร์,y
les sabates,รองเท้า,y
les sandàlies,รองเท้าแตะ (สำหรับใส่ออกไปข้างนอก),y
les tisores,กรรไกร,y
les ulleres,แว่นตา เลนส์,y
llançar,ขว้าง โยน,y
llarg,ยาว,y
llavar,ล้าง,y
llavors,ตอนนั้น ดังนั้น (es: entonces) (!a),y
llegir,อ่าน,y
lleig,น่าเกลียด อัปลักษณ์,y
llest,ฉลาด,y
llevar-se,ลุก (ตื่น) (ll),y
llis,(ผม) ตรง,y
lliure,ว่าง,y
llogar,ให้เช่า,y
lluminós,สว่าง มีแสงมาก,y
lluny,ไกล,y
mai,ไม่เลย ไม่เคย,y
malalt,ป่วย,y
malgrat això,แม้อย่างนั้น,y
mandrós,ขี้เกียจ,y
maravellar,ทำให้อัศจรรย์ (es: maravillar),y
marró,สีน้ำตาล,y
massa,มากเกินไป / เกินไป,y
mentider,ชอบโกหก,y
menut,เล็ก (m),y
menysprear,ดูถูก,y
milió,ล้าน,y
morat,สีม่วงเข้ม,y
morir,ตาย เสียชีวิต,y
mossegar,กัด,y
moure,เคลื่อนไหว เคลื่อนที่,y
mullat,เปียก (m),y
muntar,ขี่ (m),y
necessitar,ต้องการ,y
negre,สีดำ,y
nerviós,ประหม่า,y
net,สะอาด,y
netejar,ทำความสะอาด,y
nevar,(หิมะ)ตก,y
ningú,ไม่มีใครเลย,y
no gaire,ไม่เยอะมาก,y
nombrós,ที่มีจำนวนมาก,y
només,แค่ เพียง,y
noruega,เกี่ยวกับนอร์เวย์ (ญ),y
nyas coca,โคะ ว้าว โห,y
nàixer,เกิด,y
oblidar,ลืม,y
ofegar-se,จมน้ำ หายใจไม่ออก,y
oferir,เสนอให้,y
omplir,ทำให้เต็ม,y
on,ที่ไหน,y
optimist,มองโลกในแง่บวก,y
pacient,อดทน (คุณศัพท์),y
parar la taula,จัดโต๊ะ,y
parlar,พูด,y
passejar,เดินเล่น,y
patir,ทรมาน,y
pedregar,(ลูกเห็บ)ตก,y
pel que fa a,ในส่วนของ… ทางด้านของ…,y
penedir-se,รู้สึกผิด เสียใจ,y
pentinar-se,หวีผม (คำกริยา),y
per acabar-ho d'adobar,ซ้ำร้าย ยิ่งไปกว่านั้น แย่ไปกว่านั้น,y
per descomptat,แน่นอน (es: por supuesto),y
perillós,อันตราย (คำวิเศษณ์),y
permetre,อนุญาต,y
pertànyer,เป็นของ,y
pesar,ชั่งน้ำหนัก,y
pessimist,มองโลกในแง่ลบ,y
petit,เล็ก (p),y
pitjar,เหยียบ เน้น ย้ำ,y
pitjor,แย่กว่า,y
pla,เพียงพอ เหมาะสม,y
ple,เต็ม,y
plorar,ร้องไห้,y
ploure,(ฝน)ตก,y
ploure a bots i barrals,ฝนตกหนักมาก (สำนวน),y
plujós,ที่มีฝนตก,y
polonesa,เกี่ยวกับโปแลนด์ (ญ),y
pondre-se,(ดวงอาทิตย์/ดวงจันทร์) ตก,y
portuguesa,เกี่ยวกับโปรตุเกส (ญ),y
posar,ใส่ เหยาะ เพิ่มไป (es: poner),y
posar-se,สวมใส่,y
potser,อาจจะ เป็นไปได้ บางที (p),y
prendre,ดื่ม เอา,y
prendre apunts,จดบันทึก,y
prim,ผอม,y
primer,ที่หนึ่ง,y
produir,ผลิต,y
proper,ถัดไป,y
pujar,ขึ้น,y
puntual,ตรงต่อเวลา,y
quart,ที่สี่,y
quasi,เกือบ (!g),y
queixar-se,บ่น,y
qui,ใคร,y
rai,ไม่สำคัญ ดีแล้ว พอแล้ว ไม่มีปัญหา,y
raspallar,แปรง ถู (๓),y
reballar,เขวี้ยง ขว้าง,y
rebre,รับ ได้รับ,y
rebutjar,ปฏิเสธ,y
recentment,เร็ว ๆ นี้ ช่วงหลัง ๆ นี้,y
redó,กลม เป็นรูปวงกลม เป็นทรงกลม,y
refredar-se,เป็นหวัด,y
refregar,ถู ไถล ลูบ,y
regatejar,ต่อรองราคา,y
relaxar-se,พักผ่อน,y
religiós,ที่เคร่งศาสนา,y
renegar,สบถ,y
rentar,แปรง ขัด (๒),y
rentar-se les dents,แปรงฟัน,y
respondre,ตอบ,y
reventat,ที่เหนื่อยมาก หมดแรง,y
riure,หัวเราะ,y
roig,สีแดง (!v),y
ros,(ผม) สีทอง บลอนด์,y
rosa,สีชมพู,y
roín,แย่ เลว (!d),y
roïna,แย่ เลว (ญ!d),y
russa,เกี่ยวกับรัสเซีย (ญ),y
ràpid,เร็ว ไว,y
saber,รู้,y
sec,แห้ง,y
segon,ที่สอง,y
sentir,รู้สึก ได้ยิน ขอโทษ,y
senyor,คุณผู้ชาย,y
senyora,คุณนายผู้หญิง,y
senyoreta,คุณผู้หญิง(สาว),y
ser,เป็น คือ,y
seriós,ที่จริงจัง,y
seure,นั่ง,y
sincer,จริงใจ,y
sobre,เหนือ ด้านบน (s),y
somriure,ยิ้ม,y
sopar,รับประทานอาหารเย็น,y
sospitar,สงสัย คลางแคลงใจ (!d),y
sota,ด้านล่าง ด้านใต้ (s),y
sovint,บ่อย ๆ,y
suar,เหงื่อออก (กริยา),y
sucar,ถู ถูไปกับ,y
sueca,เกี่ยวกับสวีเดน (ญ),y
sumar,บวก รวม,y
tailandesa,เกี่ยวกับไทย (ญ),y
tallar,ตัด,y
tant de bo,ขอให้… (es: ojalá),y
taronja,สีส้ม,y
telefonar,โทรหา,y
tercer,ที่สาม,y
tindre,มี,y
tocar,เรียก,y
tocar el dos,(สำนวน) ไป หนี ออกไป,y
tot i que,แม้ว่า (!e),y
tot just,เพิ่ง แค่ ไม่ถึง แทบจะไม่ถึง,y
tothom,ทุกคน,y
traduir,แปล,y
tranquil,สงบ,y
traure el fem,เอาขยะไปทิ้ง,y
treballador,ขยันทำงาน ชอบทำงาน,y
treballar,ทำงาน,y
trencar,ทำลาย,y
trencat,พัง ชำรุด,y
treure,หยิบ เอาออก,y
triar,เลือก,y
trist,เศร้า,y
trobar,พบ เจอ,y
trobar a faltar,คิดถึง,y
turca,เกี่ยวกับตุรกี (ญ),y
un fum,เยอะมาก (un montón),y
v. dur,สวมใส่ (แว่นตา…) / มี (หนวด…) / (es: llevar),y
valenciana,เกี่ยวกับวาเลนเซีย (ญ),y
vell,เก่า แก่,y
vendre,ขาย,y
venjar,แก้แค้น โต้ตอบ,y
verd,สีเขียว,y
vermell,สีแดง (!r),y
vertader,ที่เป็นความจริง,y
vestir-se,แต่งตัว,y
veure/vore,ดู,y
viatjar,ท่องเที่ยว (กริยา),y
vindre,มา,y
viure,อาศัย มีชีวิต,y
vèncer,ชนะ มีชัยเหนือ (!g),y
xerraire,ช่างพูด,y
xicotet,เล็ก (x),y
xinesa,เกี่ยวกับจีน (ญ),y
xiular,เป่านกหวีด,y
xopar-se,เปียกโชก,y
Àfrica,ทวีปแอฟริกา,y
Àsia,ทวีปเอเชีย,y
àvid,ที่กระตือรือร้น ด้วยความสนใจเป็นพิเศษ,y
